airline;number;scheduledTime;actualTime;status;arrivalAirport;aircraft
ANA;NH 5896;1636660500.0;1636662000.0;Departed;SBGR;Boeing 747-8 Intercontinental
Singapore;SQ 2196;1636660500.0;1636662000.0;Departed;SBGR;Boeing 747-8 Intercontinental
Air China LTD;CA 6251;1636660500.0;1636662000.0;Departed;SBGR;Boeing 747-8 Intercontinental
Lufthansa;LH 1536;1636661400.0;1636661400.0;Departed;UKLL;Airbus A320
Lufthansa;LH 506;1636660500.0;1636662000.0;Departed;SBGR;Boeing 747-8 Intercontinental
Air Canada;AC 9088;1637407800.0;1637410200.0;Departed;OMDB;Boeing 747-400
Air Canada;AC 9264;1637412600.0;1637412600.0;Departed;OJAI;Airbus A319
Nouvelair Tunisie;BJ 2071;1637410500.0;1637410500.0;Boarding;DTTJ;Airbus A320-100/200
Air Baltic;BT 5726;1637410500.0;1637410500.0;Departed;OMAA;Boeing 787
United;UA 8904;1637407800.0;1637410200.0;Departed;OMDB;Boeing 747-400
Hong Kong;HX 1372;1637410500.0;1637410500.0;Departed;OMAA;Boeing 787
Iran Air;IR 1600;1637409600.0;1637410800.0;Departed;OIIE;Airbus A330-300
Air Malta;KM 2141;1637410500.0;1637410500.0;Departed;OMAA;Boeing 787
Lufthansa;LH 9416;1637410200.0;1637410200.0;Departed;LTBJ;Boeing 737-800 (winglets)
Lufthansa;LH 9657;1637410500.0;1637410500.0;Departed;OMAA;Boeing 787
SWISS;LX 4020;1637409600.0;1637410800.0;Departed;OIIE;Airbus A330-300
Malaysia;MH 4614;1637411400.0;1637411400.0;Departed;OMDB;Airbus A380-800
Malaysia;MH 5286;1637410500.0;1637410500.0;Departed;OMAA;Boeing 787
ANA;NH 5877;1637410500.0;1637410500.0;Departed;LIBD;Canadair CRJ 900NG
Pakistan International;PK 4002;1637410500.0;1637410500.0;Departed;OMAA;Boeing 787
Qantas;QF 8046;1637411400.0;1637411400.0;Departed;OMDB;Airbus A380-800
United;UA 6904;1637412300.0;1637412300.0;GateClosed;LTFM;Airbus A321 NEO
United;UA 9150;1637412600.0;1637412600.0;Departed;OJAI;Airbus A319
SriLankan;UL 2360;1637410500.0;1637410500.0;Departed;OMAA;Boeing 787
flynas;XY 3002;1637410500.0;1637410500.0;Departed;OMAA;Boeing 787
KLM;KL 1768;1637410500.0;1637410500.0;Departed;EHAM;Embraer EMB 190
United;UA 906;1637406000.0;1637412300.0;GateClosed;KORD;Boeing 787-9 Dreamliner
Air France;AF 1219;1637411400.0;1637411400.0;Departed;LFPG;Embraer EMB 170
Lufthansa;LH 1056;1637413200.0;1637413200.0;GateClosed;LFRS;Canadair CRJ 900
Lufthansa;LH 294;1637410500.0;1637410500.0;Departed;LIBD;Canadair CRJ 900NG
SunExpress;XQ 971;1637410200.0;1637410200.0;Departed;LTBJ;Boeing 737-800 (winglets)
Turkish;TK 1592;1637412300.0;1637412300.0;GateClosed;LTFM;Airbus A321 NEO
Lufthansa;LH 600;1637409600.0;1637410800.0;Departed;OIIE;Airbus A330-300
Lufthansa;LH 692;1637412600.0;1637412600.0;Departed;OJAI;Airbus A319
Royal Jordanian;RJ 126;1637412300.0;1637412300.0;Departed;OJAI;Airbus A319
Etihad Airways;EY 2;1637410500.0;1637410500.0;Departed;OMAA;Boeing 787
