airline;number;scheduledTime;actualTime;status;arrivalAirport;aircraft
KLM;KL 2687;1640752800.0;1640753460.0;Departed;LEZL;Boeing 737-800
KLM;KL 2603;1640755800.0;1640755380.0;Departed;LOWI;Boeing 737-800
KLM;KL 2657;1640754300.0;1640754120.0;Departed;LIRP;Boeing 737-700 (winglets)
KLM;KL 2662;1640754000.0;1640754060.0;Departed;LOWS;Boeing 737-800
KLM;KL 2667;1640755500.0;1640755860.0;Departed;LPFR;Boeing 737-800
KLM;KL 1721;1640753400.0;1640753400.0;Departed;EBBR;Embraer EMB 190
KLM;KL 1853;1640752800.0;1640753220.0;Departed;EDDL;Embraer EMB 190
KLM;KL 1165;1640753100.0;1640753220.0;Departed;EFHK;Embraer EMB 190
KLM;KL 1141;1640753100.0;1640753100.0;Departed;ENGM;Embraer EMB 175
KLM;KL 1105;1640753700.0;1640753700.0;Departed;ESSA;Embraer EMB 190
KLM;KL 2641;1640753400.0;1640753580.0;Departed;LEAL;Boeing 737-800 (winglets)
KLM;KL 2649;1640753400.0;1640753340.0;Departed;LEMG;Boeing 737-800
KLM;KL 1351;1640753400.0;1640754240.0;Departed;LKPR;Embraer EMB 190
KLM;KL 1925;1640754000.0;1640754360.0;Departed;LSGG;Embraer 195-E2
KLM;KL 1953;1640753400.0;1640753100.0;Departed;LSZH;Boeing 737-700 (winglets)
KLM;KL 2017;1640711400.0;1640711220.0;Departed;LFPG;Airbus A319
KLM;KL 1027;1640710200.0;1640709840.0;Departed;EGLL;Boeing 737-700 (winglets)
KLM;KL 2740;1634700000.0;1634700180.0;Departed;LOWI;Boeing 737-800
KLM;KL 2607;1634702400.0;1634702340.0;Departed;LPPR;Boeing 737-800 (winglets)
KLM;KL 2674;1634702700.0;1634702880.0;Departed;LEBL;Boeing 737-800
KLM;KL 1001;1634700000.0;1634700000.0;Departed;EGLL;Boeing 737-700 (winglets)
KLM;KL 1007;1634704500.0;1634704680.0;Departed;EGLL;Boeing 737-700 (winglets)
KLM;KL 1125;1634700000.0;1634699940.0;Departed;EKCH;Embraer EMB 190
KLM;KL 983;1634702400.0;1634702040.0;Departed;EGLC;Embraer EMB 190
KLM;KL 1763;1634703900.0;1634703840.0;Departed;EDDF;Embraer EMB 175
KLM;KL 1665;1634703300.0;1634704500.0;Departed;LEBL;Embraer EMB 175
KLM;KL 2663;1634706300.0;1634706300.0;Departed;LEMG;Boeing 737-800
KLM;KL 1251;1634703000.0;1634702700.0;Departed;LFMN;Embraer EMB 190
KLM;KL 1197;1634703300.0;1634703240.0;Departed;ENZV;Embraer EMB 175
KLM;KL 1227;1634699700.0;1634699880.0;Departed;LFPG;Boeing 737-800
KLM;KL 1573;1634704500.0;1634705460.0;Departed;LGAV;Boeing 737-800 (winglets)
KLM;KL 1229;1634702400.0;1634702520.0;Departed;LFPG;Boeing 737-800 (winglets)
KLM;KL 1619;1634703900.0;1634703900.0;Departed;LIML;Boeing 737-700 (winglets)
KLM;KL 1973;1634705400.0;1634705220.0;Departed;LHBP;Boeing 737-800 (winglets)
KLM;KL 1693;1634705700.0;1634705520.0;Departed;LPPT;Boeing 737-800 (winglets)
KLM;KL 1021;1636724700.0;1636725600.0;Departed;EGLL;Boeing 737-800 (winglets)
KLM;KL 1477;1636725600.0;1636725900.0;Departed;EGPF;Boeing 737-800 (winglets)
KLM;KL 937;1636725600.0;1636725960.0;Departed;EIDW;Embraer EMB 190
KLM;KL 1417;1636725900.0;1636726260.0;Departed;LFLL;Embraer EMB 190
KLM;KL 1357;1636726500.0;1636726500.0;Departed;LKPR;Embraer EMB 175
KLM;KL 2666;1636726200.0;1636726560.0;Departed;LIBD;Boeing 737-700 (winglets)
KLM;KL 1335;1636726500.0;1636726560.0;Departed;EKYT;295
KLM;KL 947;1636726800.0;1636726620.0;Departed;EGAC;Embraer EMB 190
KLM;KL 1769;1636726200.0;1636726680.0;Departed;EDDF;Embraer EMB 190
