airline;number;scheduledTime;actualTime;status;arrivalAirport;aircraft
Lufthansa;LH 2309;1640710200.0;1640709720.0;Departed;EDDM;Canadair CRJ 900NG
Lufthansa;LH 1003;1634702700.0;1634702820.0;Departed;EDDF;Airbus A319
Lufthansa;LH 2301;1634187000.0;1634189220.0;Departed;EDDM;Canadair CRJ 900NG
Lufthansa;LH 999;1635788100.0;1635788100.0;Departed;EDDF;Canadair CRJ 900NG
Lufthansa;LH 2309;1635785400.0;1635785160.0;Departed;EDDM;Embraer EMB 195
Lufthansa;LH 2307;1634564100.0;1634564700.0;Departed;EDDM;Canadair CRJ 900NG
Lufthansa;LH 2309;1640969400.0;1640969640.0;Departed;EDDM;Canadair CRJ 900NG
Lufthansa;LH 2311;1636520400.0;1636521720.0;Departed;EDDM;Airbus A319
Lufthansa;LH 1003;1636522800.0;1636523340.0;Departed;EDDF;Airbus A319
Lufthansa;LH 989;1640854500.0;1640855460.0;Departed;EDDF;Airbus A320 NEO
Lufthansa;LH 2303;1640854800.0;1640856060.0;Departed;EDDM;Airbus A319
Lufthansa;LH 1003;1636177200.0;1636177080.0;Departed;EDDF;Airbus A320-200 (Sharklets)
Lufthansa;LH 2305;1635334800.0;1635334980.0;Departed;EDDM;Canadair CRJ 900NG
Lufthansa;LH 2301;1641986700.0;1641987360.0;Departed;EDDM;Canadair CRJ 900NG
Lufthansa;LH 2305;1633952400.0;1633952460.0;Departed;EDDM;Airbus A320-100/200
Lufthansa;LH 2307;1635600900.0;1635602280.0;Departed;EDDM;Canadair CRJ 900NG
Lufthansa;LH 2309;1635699000.0;1635699120.0;Departed;EDDM;Canadair CRJ 900NG
Lufthansa;LH 999;1635701700.0;1635701820.0;Departed;EDDF;Airbus A319
Lufthansa;LH 1003;1635221100.0;1635221160.0;Departed;EDDF;Airbus A319
Lufthansa;LH 2301;1635223800.0;1635223620.0;Departed;EDDM;Canadair CRJ 900NG
Lufthansa;LH 2309;1640623800.0;1640624040.0;Departed;EDDM;Canadair CRJ 900NG
Lufthansa;LH 2305;1636371600.0;1636371240.0;Departed;EDDM;Canadair CRJ 900NG
Lufthansa;LH 987;1636620900.0;1636621380.0;Departed;EDDF;Embraer EMB 190
Lufthansa;LH 1003;1634616300.0;1634616960.0;Departed;EDDF;Airbus A319
Lufthansa;LH 2301;1634619000.0;1634619240.0;Departed;EDDM;Canadair CRJ 900NG
Lufthansa;LH 993;1635857100.0;1635857280.0;Departed;EDDF;Airbus A320-200 (Sharklets)
Lufthansa;LH 2303;1641019800.0;1641020880.0;Departed;EDDM;Airbus A320-100/200
Lufthansa;LH 2301;1635310200.0;1635309900.0;Departed;EDDM;Canadair CRJ 900NG
Lufthansa;LH 987;1636016100.0;1636016340.0;Departed;EDDF;Embraer EMB 195
Lufthansa;LH 2303;1636016400.0;1636016520.0;Departed;EDDM;Embraer EMB 195
Lufthansa;LH 2305;1642159500.0;1642159320.0;Departed;EDDM;Canadair CRJ 900NG
Lufthansa;LH 1003;1635831600.0;1635831840.0;Departed;EDDF;Airbus A320-200 (Sharklets)
Lufthansa;LH 2311;1635829200.0;1635829020.0;Departed;EDDM;Airbus A319
Lufthansa;LH 997;1634481000.0;1634481660.0;Departed;EDDF;Airbus A319
Lufthansa;LH 2307;1634477700.0;1634479020.0;Departed;EDDM;Canadair CRJ 900NG
Lufthansa;LH 2305;1635765900.0;1635766980.0;Departed;EDDM;Embraer EMB 195
Lufthansa;LH 989;1635318900.0;1635319140.0;Departed;EDDF;Airbus A319
Lufthansa;LH 2305;1636197900.0;1636198980.0;Departed;EDDM;Canadair CRJ 900NG
Lufthansa;LH 2305;1641727500.0;1641727620.0;Departed;EDDM;Airbus A319
Lufthansa;LH 999;1636652100.0;1636652100.0;Departed;EDDF;Canadair CRJ 900NG
Lufthansa;LH 2309;1641055800.0;1641057180.0;Departed;EDDM;Canadair CRJ 900NG
Lufthansa;LH 1003;1642138800.0;1642138740.0;Departed;EDDF;Airbus A319
Lufthansa;LH 989;1633936500.0;1633936740.0;Departed;EDDF;Airbus A319
Lufthansa;LH 2307;1634391300.0;1634392260.0;Departed;EDDM;Canadair CRJ 900NG
