airline;number;scheduledTime;actualTime;status;arrivalAirport;aircraft
Vueling;VY 8311;1640754000.0;1640754180.0;Departed;LEBL;Airbus A320
Vueling;VY 8367;1640754900.0;1640755140.0;Departed;LEMG;Airbus A320
Vueling;VY 8320;1640710800.0;1640710440.0;Departed;LEBL;Airbus A321
Vueling;VY 8301;1634192100.0;1634194020.0;Departed;LEBL;Airbus A320
Vueling;VY 8308;1635787200.0;1635787260.0;Departed;LEBL;Airbus A320
Vueling;VY 6291;1635789300.0;1635789420.0;Departed;LIRF;Airbus A320-100/200
Vueling;VY 8314;1641651600.0;1641650940.0;Departed;LEBL;Airbus A320
Vueling;VY 8305;1634319900.0;1634320500.0;Departed;LEBL;Airbus A321-100/200
Vueling;VY 6293;1634563500.0;1634563380.0;Departed;LIRF;Airbus A320-100/200
Vueling;VY 8351;1634564700.0;1634564940.0;Departed;LEVC;Airbus A320
Vueling;VY 8355;1636294800.0;1636295100.0;Departed;LEBB;Airbus A320-200 (Sharklets)
Vueling;VY 6291;1640763300.0;1640764380.0;Departed;LIRF;Airbus A320-200 (Sharklets)
Vueling;VY 8320;1640970000.0;1640969700.0;Departed;LEBL;Airbus A320
Vueling;VY 8311;1636520400.0;1636521000.0;Departed;LEBL;Airbus A320
Vueling;VY 8317;1640852700.0;1640854560.0;Departed;LEBL;Airbus A320
Vueling;VY 6291;1642059900.0;1642060380.0;Departed;LIRF;Airbus A320-100/200
Vueling;VY 8317;1642062300.0;1642075680.0;Departed;LEBL;Airbus A320
Vueling;VY 8311;1636174800.0;1636176060.0;Departed;LEBL;Airbus A320-200 (Sharklets)
Vueling;VY 8312;1641753600.0;1641754080.0;Departed;LEBL;Airbus A320
Vueling;VY 6291;1641754800.0;1641754860.0;Departed;LIRF;Airbus A320-100/200
Vueling;VY 8305;1641757500.0;1641754800.0;Departed;LEBL;Airbus A320-100/200
Vueling;VY 1375;1641754200.0;1641756120.0;Departed;LEAL;Airbus A320-100/200
Vueling;VY 6291;1636134900.0;1636136340.0;Departed;LIRF;Airbus A320-100/200
Vueling;VY 1375;1636137300.0;1636138560.0;Departed;LEAL;Airbus A320-100/200
Vueling;VY 8312;1636137600.0;1636138980.0;Departed;LEBL;Airbus A320
Vueling;VY 8352;1636139400.0;1636140540.0;Departed;LEVC;Airbus A320-100/200
Vueling;VY 6815;1636140000.0;1636141920.0;Departed;LIRQ;Airbus A319
Vueling;VY 8305;1636141500.0;1636142580.0;Departed;LEBL;Airbus A320-200 (Sharklets)
Vueling;VY 8301;1635401700.0;1635402720.0;Departed;LEBL;Airbus A321-100/200
Vueling;VY 8317;1641803100.0;1641802680.0;Departed;LEBL;Airbus A320
Vueling;VY 8303;1635333000.0;1635333660.0;Departed;LEBL;Airbus A320
Vueling;VY 8303;1633950600.0;1633951320.0;Departed;LEBL;Airbus A320-100/200
