airline;number;scheduledTime;actualTime;status;arrivalAirport;aircraft
Austrian;OS 7479;1637314500.0;1637314500.0;Departed;ESGG;Airbus A320-100/200
Austrian;OS 7248;1639596600.0;1639596600.0;Departed;LOWS;Airbus A319
Austrian;OS 7433;1639597200.0;1639597200.0;Departed;ESGG;Airbus A320-200 (Sharklets)
Austrian;OS 7443;1639597200.0;1639597200.0;Departed;EFHK;Airbus A320-200 (Sharklets)
Austrian;OS 7471;1635614400.0;1635615600.0;Departed;EIDW;Airbus A320-200 (Sharklets)
Austrian;OS 7375;1635615900.0;1635615900.0;Departed;EGCC;Airbus A320-200 (Sharklets)
Austrian;OS 7433;1635615900.0;1635615900.0;Departed;ESGG;Airbus A320-100/200
Austrian;OS 7315;1635617100.0;1635616500.0;Departed;FAOR;Boeing 747-8 Intercontinental
Austrian;OS 7246;1635663600.0;1635663600.0;Departed;LOWS;Airbus A320-100/200
Austrian;OS 7485;1635665700.0;1635665700.0;Departed;ESGG;Airbus A320
Austrian;OS 7327;1635664200.0;1635666300.0;Departed;LPPT;Airbus A321
Austrian;OS 7439;1635666300.0;1635666300.0;Departed;EFHK;Airbus A320
Austrian;OS 8281;1635666300.0;1635666300.0;Departed;CYYZ;Boeing 777-300ER
Austrian;OS 7469;1635666600.0;1635666600.0;Departed;EIDW;Airbus A320 NEO
Austrian;OS 122;1635666600.0;1635667500.0;Departed;LOWW;Airbus A319
Austrian;OS 7226;1637317200.0;1637317200.0;Departed;LOWG;Embraer EMB 190
Austrian;OS 130;1637319000.0;1637319000.0;Departed;LOWW;Airbus A320-100/200
Austrian;OS 7305;1642078800.0;1642078800.0;Departed;LEBB;Airbus A320 NEO
Austrian;OS 7226;1639304400.0;1639304400.0;Departed;LOWG;Embraer EMB 190
Austrian;OS 7327;1637478600.0;1637478600.0;Departed;LPPT;Airbus A320-100/200
Austrian;OS 7371;1637479500.0;1637479500.0;Departed;EGCC;Airbus A321
Austrian;OS 7371;1637306700.0;1637306700.0;Departed;EGCC;Airbus A320
Austrian;OS 7485;1637307300.0;1637307300.0;Departed;ESGG;Airbus A320-200 (Sharklets)
Austrian;OS 7242;1636800900.0;1636801800.0;Departed;LOWS;Embraer EMB 190
Austrian;OS 8207;1636803000.0;1636803000.0;Departed;CYYC;Boeing 787-9 Dreamliner
Austrian;OS 7435;1636803000.0;1636803000.0;Departed;EFHK;Airbus A320
Austrian;OS 7461;1636801200.0;1636803000.0;Departed;LEMD;Airbus A321-100/200
Austrian;OS 132;1637164200.0;1637164200.0;Departed;LOWW;Airbus A320-100/200
Austrian;OS 7260;1635043800.0;1635043800.0;Departed;LOWW;Embraer EMB 190
Austrian;OS 7423;1638038100.0;1638038100.0;Departed;EETN;Airbus A320
Austrian;OS 7455;1637136600.0;1637136600.0;Departed;LEMD;Airbus A320
Austrian;OS 7415;1637137200.0;1637137200.0;Departed;LEBB;Airbus A320-200 (Sharklets)
