airline;number;scheduledTime;actualTime;status;arrivalAirport;aircraft
Lufthansa;LH 1536;1636661400.0;1636661400.0;Departed;UKLL;Airbus A320
Lufthansa;LH 506;1636660500.0;1636662000.0;Departed;SBGR;Boeing 747-8 Intercontinental
Lufthansa;LH 9416;1637410200.0;1637410200.0;Departed;LTBJ;Boeing 737-800 (winglets)
Lufthansa;LH 9657;1637410500.0;1637410500.0;Departed;OMAA;Boeing 787
Lufthansa;LH 294;1637410500.0;1637410500.0;Departed;LIBD;Canadair CRJ 900NG
Lufthansa;LH 600;1637409600.0;1637410800.0;Departed;OIIE;Airbus A330-300
Lufthansa;LH 692;1637412600.0;1637412600.0;Departed;OJAI;Airbus A319
Lufthansa;LH 630;1637407800.0;1637410200.0;Departed;OMDB;Boeing 747-400
Lufthansa;LH 7014;1637404500.0;1637413200.0;Delayed;VHHH;Airbus A350
Lufthansa;LH 5928;1637313300.0;1637313300.0;Departed;LGTS;Airbus A321 NEO
Lufthansa;LH 594;1637313300.0;1637313300.0;Departed;DNAA;Airbus A330-300
Lufthansa;LH 182;1637315100.0;1637315100.0;Departed;EDDB;Airbus A321-100/200
Lufthansa;LH 816;1637314500.0;1637314500.0;Departed;ESGG;Airbus A320-100/200
Lufthansa;LH 802;1637313000.0;1637314200.0;Departed;ESSA;Airbus A320-200 (Sharklets)
Lufthansa;LH 890;1637312100.0;1637313300.0;Departed;EVRA;Airbus A320
Lufthansa;LH 886;1637313600.0;1637313600.0;Departed;EYVI;Airbus A320-100/200
Lufthansa;LH 590;1637313300.0;1637313300.0;Departed;HKJK;Airbus A330-300
Lufthansa;LH 422;1637313000.0;1637313000.0;Departed;KBOS;Airbus A340-300
Lufthansa;LH 400;1637312100.0;1637314500.0;Departed;KJFK;Boeing 747-400
Lufthansa;LH 1424;1637313000.0;1637313000.0;Departed;LATI;Airbus A320
Lufthansa;LH 232;1637312100.0;1637313000.0;Departed;LIRF;Airbus A321-100/200
Lufthansa;LH 334;1637313600.0;1637313600.0;Departed;LIRN;Airbus A320-200 (Sharklets)
Lufthansa;LH 1406;1637312700.0;1637313600.0;Departed;LYBE;Airbus A320-200 (Sharklets)
Lufthansa;LH 1428;1642266900.0;1642266900.0;Departed;LBSF;Airbus A319
Lufthansa;LH 997;1642268400.0;1642268400.0;Departed;EHAM;Embraer EMB 190
Lufthansa;LH 96;1639289700.0;1639289700.0;Departed;EDDM;Airbus A320-100/200
Lufthansa;LH 1028;1639290000.0;1639290000.0;Departed;LFPG;Airbus A320-100/200
Lufthansa;LH 1058;1639290300.0;1639290300.0;Departed;LFMN;Airbus A320-200 (Sharklets)
Lufthansa;LH 1086;1639290900.0;1639290900.0;Departed;LFML;Airbus A320 NEO
Lufthansa;LH 122;1639595700.0;1639595700.0;Departed;EDDM;Airbus A320-100/200
Lufthansa;LH 202;1639595700.0;1639595700.0;Departed;EDDB;Airbus A320-100/200
Lufthansa;LH 36;1639596600.0;1639596600.0;Departed;EDDH;Airbus A320-100/200
Lufthansa;LH 88;1639596600.0;1639596600.0;Departed;EDDL;Airbus A319
Lufthansa;LH 58;1639596000.0;1639596000.0;Departed;EDDV;Airbus A319
Lufthansa;LH 854;1639597200.0;1639597200.0;Departed;EFHK;Airbus A320-200 (Sharklets)
Lufthansa;LH 216;1639596000.0;1639596000.0;Departed;EDDC;Airbus A319
Lufthansa;LH 864;1639597200.0;1639597200.0;Departed;ENGM;Airbus A321
Lufthansa;LH 1352;1639595400.0;1639595400.0;Departed;EPWA;Airbus A320-200 (Sharklets)
Lufthansa;LH 922;1639596600.0;1639596600.0;Departed;EGLL;Airbus A320 NEO
Lufthansa;LH 820;1639597200.0;1639597200.0;Departed;ESGG;Airbus A320-200 (Sharklets)
Lufthansa;LH 808;1639596600.0;1639596600.0;Departed;ESSA;Airbus A321-100/200
Lufthansa;LH 842;1639598100.0;1639598100.0;Departed;EKBI;Airbus A320-200 (Sharklets)
Lufthansa;LH 1138;1639595700.0;1639595700.0;Departed;LEBL;Airbus A320-100/200
Lufthansa;LH 1068;1639596000.0;1639596000.0;Departed;LFMN;Airbus A320
Lufthansa;LH 1050;1639595700.0;1639595700.0;Departed;LFPG;Airbus A320
Lufthansa;LH 1342;1639596000.0;1639596000.0;Departed;LHBP;Airbus A320
Lufthansa;LH 332;1639596600.0;1639596600.0;Departed;LIPZ;Airbus A320-100/200
