airline;number;scheduledTime;actualTime;status;arrivalAirport;aircraft
United;UA 9821;1642322100.0;1642321980.0;GateClosed;KIAD;Boeing 767-300 (winglets)
Austrian;OS 93;1642322100.0;1642321980.0;GateClosed;KIAD;Boeing 767-300 (winglets)
Pegasus;PC 902;1642322100.0;1642322100.0;GateClosed;LTFJ;Airbus A320-200 (Sharklets)
Malta Medair;MM 1601;1642321800.0;1642321800.0;GateClosed;LMML;Airbus A320
Air Baltic;BT 6073;1642321800.0;1642321920.0;GateClosed;LMML;Airbus A320-200 (Sharklets)
Austrian;OS 8711;1642321800.0;1642321920.0;GateClosed;LMML;Airbus A320-200 (Sharklets)
Air Malta;KM 515;1642321800.0;1642321920.0;GateClosed;LMML;Airbus A320-200 (Sharklets)
Austrian;OS 89;1642321500.0;1642321500.0;GateClosed;KEWR;Boeing 777-200
United;UA 9842;1642321500.0;1642321500.0;GateClosed;KEWR;Boeing 777-200
Lufthansa;LH 6460;1642321200.0;1642322040.0;EnRoute;ORER;Airbus A320
SAS;SK 9417;1642321200.0;1642322100.0;EnRoute;ENGM;Embraer 195
Austrian;OS 335;1642321200.0;1642322100.0;EnRoute;ENGM;Embraer 195
Austrian;OS 829;1642321200.0;1642322040.0;EnRoute;ORER;Airbus A320
Austrian;OS 65;1642320900.0;1642321680.0;GateClosed;KORD;Boeing 767-300 (winglets)
United;UA 9849;1642320900.0;1642321680.0;GateClosed;KORD;Boeing 767-300 (winglets)
Austrian;OS 129;1642320600.0;1642321620.0;EnRoute;EDDF;Airbus A320
Lufthansa;LH 6347;1642320600.0;1642321620.0;EnRoute;EDDF;Airbus A320
SAS;SK 9433;1642320600.0;1642321620.0;EnRoute;EDDF;Airbus A320
Asiana;OZ 6922;1642320300.0;1642321020.0;EnRoute;LTFM;Airbus A321-200 (Sharklets)
Turkish;TK 1884;1642320300.0;1642321020.0;Departed;LTFM;Airbus A321-200 (Sharklets)
United;UA 9817;1642320000.0;1642321320.0;GateClosed;UUDD;Embraer 195
Corendon Air;XC 3012;1642320000.0;1642320240.0;EnRoute;LTBJ;W38
Austrian;OS 601;1642320000.0;1642321320.0;GateClosed;UUDD;Embraer 195
Wizz Air;W6 6128;1642319700.0;1642320300.0;EnRoute;UKKK;Airbus A320-200 (Sharklets)
TAROM;RO 342;1642319100.0;1642319940.0;Departed;LROP;ATR 72
SWISS;LX 1575;1642318800.0;1642319640.0;Departed;LSZH;Airbus A320
Austrian;OS 8803;1642318800.0;1642319640.0;EnRoute;LSZH;Airbus A320
Austrian;OS 385;1642318800.0;1642319760.0;Departed;LEMG;Airbus A320
Air Canada;AC 6788;1642318800.0;1642319640.0;EnRoute;LSZH;Airbus A320
Austrian;OS 385;1642318800.0;1642318800.0;GateClosed;LEMG;Airbus A320
Air Canada;AC 6788;1642318800.0;1642318800.0;GateClosed;LSZH;Airbus A320
