airline;number;scheduledTime;actualTime;status;arrivalAirport;aircraft
Austrian;OS 385;1642318800.0;1642319760.0;Departed;LEMG;Airbus A320
Austrian;OS 849;1642279200.0;1642279620.0;Departed;LATI;Embraer EMB 195
Austrian;OS 317;1642273200.0;1642273980.0;Departed;ESSA;Airbus A320
Austrian;OS 17;1642271100.0;1642272420.0;Departed;FIMP;Boeing 777-200
Austrian;OS 515;1642261800.0;1642261680.0;Departed;LIMC;Embraer 195
Austrian;OS 187;1642261500.0;1642261860.0;Departed;EDDS;Embraer EMB 195
Austrian;OS 305;1642261200.0;1642261560.0;Departed;EKCH;Embraer EMB 195
Austrian;OS 901;1642261200.0;1642261560.0;Departed;LOWI;Embraer EMB 195
Austrian;OS 575;1642260900.0;1642261440.0;Departed;LSGG;Embraer EMB 195
Austrian;OS 125;1642260900.0;1642261500.0;Departed;EDDF;Embraer EMB 195
Austrian;OS 355;1642260600.0;1642261320.0;Departed;EBBR;Embraer EMB 195
Austrian;OS 455;1642260600.0;1642261740.0;Departed;EGLL;Airbus A320-200
Austrian;OS 905;1642244100.0;1642243980.0;Departed;LOWI;Embraer EMB 195
Austrian;OS 727;1642244100.0;1642244040.0;Departed;LYPG;Embraer 195
Austrian;OS 797;1642243800.0;1642244220.0;Departed;LBSF;Embraer EMB 195
Austrian;OS 791;1642242900.0;1642243680.0;Departed;LROP;Airbus A320-100/200
Austrian;OS 9505;1642239000.0;1642240020.0;Departed;GCTS;Airbus A320
Austrian;OS 87;1642236300.0;1642236960.0;Departed;KJFK;Boeing 777-200
Austrian;OS 831;1642232400.0;1642233360.0;Departed;LCLK;Airbus A320-200 (Sharklets)
Austrian;OS 291;1642225200.0;1642225620.0;Departed;EDDV;Embraer EMB 195
Austrian;OS 223;1642225200.0;1642225680.0;Departed;EDDB;Embraer 195
Austrian;OS 151;1642224900.0;1642225320.0;Departed;EDDL;Embraer 195
Austrian;OS 561;1642224900.0;1642225440.0;Departed;LSZH;Airbus A320-100/200
Austrian;OS 571;1642224900.0;1642225860.0;Departed;LSGG;Embraer EMB 195
Austrian;OS 175;1642224900.0;1642226100.0;Departed;EDDH;Embraer EMB 195
Austrian;OS 121;1642223700.0;1642225500.0;Departed;EDDF;Embraer EMB 195
Austrian;OS 451;1642221900.0;1642222560.0;Departed;EGLL;Airbus A320-100/200
Austrian;OS 25;1642195200.0;1642195560.0;Departed;VTBS;Boeing 777-200
Austrian;OS 679;1642193100.0;1642193100.0;Departed;UKDE;Boeing 777-200
Austrian;OS 975;1642193100.0;1642193220.0;Departed;LOWG;Embraer EMB 195
Austrian;OS 849;1642192800.0;1642194120.0;Departed;LATI;Airbus A320-100/200
Austrian;OS 913;1642190100.0;1642190220.0;Departed;LOWI;Embraer 195
Austrian;OS 759;1642190100.0;1642190160.0;Departed;LQSA;Embraer 195
Austrian;OS 317;1642186800.0;1642187640.0;Departed;ESSA;Airbus A320
Austrian;OS 515;1642175400.0;1642175820.0;Departed;LIMC;Embraer 195
Austrian;OS 187;1642175100.0;1642175520.0;Departed;EDDS;Embraer EMB 195
Austrian;OS 305;1642174800.0;1642175280.0;Departed;EKCH;Embraer EMB 195
Austrian;OS 473;1642174800.0;1642174920.0;Departed;LFSB;Embraer EMB 195
Austrian;OS 575;1642174500.0;1642175040.0;Departed;LSGG;Embraer EMB 195
Austrian;OS 115;1642174200.0;1642174500.0;Delayed;EDDM;Embraer 195
Austrian;OS 863;1642160700.0;1642161480.0;Departed;HECA;Airbus A321
Austrian;OS 797;1642157400.0;1642157760.0;Departed;LBSF;Embraer 195
Austrian;OS 153;1642156800.0;1642157460.0;Departed;EDDL;Airbus A320-100/200
Austrian;OS 791;1642156500.0;1642157160.0;Departed;LROP;Airbus A320-100/200
Austrian;OS 809;1642156500.0;1642157280.0;Departed;LGTS;Embraer EMB 195
Austrian;OS 831;1642156500.0;1642157700.0;Departed;LCLK;Airbus A320-100/200
Austrian;OS 89;1642148700.0;1642149780.0;Departed;KEWR;Boeing 777-200
Austrian;OS 65;1642148100.0;1642153920.0;Departed;KORD;Boeing 767-300 (winglets)
Austrian;OS 521;1642143600.0;1642143540.0;Departed;LIPZ;Embraer 195
