airline;number;scheduledTime;actualTime;status;arrivalAirport;aircraft
Ryanair;FR 975;1642309200.0;1642311780.0;Departed;UKBB;Airbus A320
Ryanair;FR 7161;1642304700.0;1642305660.0;Departed;LLBG;Airbus A320
Ryanair;FR 182;1642242600.0;1642243740.0;Departed;LBSF;Boeing 737-800
Ryanair;FR 5734;1642242000.0;1642243620.0;Departed;OJAI;Airbus A320
Ryanair;FR 975;1642234500.0;1642235100.0;Departed;UKBB;Airbus A320
Ryanair;FR 7299;1642220700.0;1642221180.0;Departed;LICC;Airbus A320
Ryanair;FR 104;1642219800.0;1642221300.0;Departed;LEPA;Airbus A320
Ryanair;FR 7350;1642219200.0;1642219380.0;Departed;LEBL;Airbus A320
Ryanair;FR 4WC;1642160940.0;1642160940.0;Departed;EDDK;Airbus A320
Ryanair;FR 9482;1642147800.0;1642149900.0;Departed;LIBD;Airbus A320
Ryanair;FR 7289;1642134600.0;1642135380.0;Departed;LEXJ;Boeing 737-800
Ryanair;FR 7161;1642132800.0;1642133160.0;Departed;LLBG;Airbus A320
Ryanair;FR 590;1642131900.0;1642132200.0;Departed;LEMG;Airbus A320
Ryanair;FR 182;1642074000.0;1642074240.0;Departed;LBSF;Airbus A320
Ryanair;FR 975;1642067400.0;1642067580.0;Departed;UKBB;Airbus A320
Ryanair;FR 7350;1642047600.0;1642047720.0;Departed;LEBL;Airbus A320
Ryanair;FR 214;1642007400.0;1642007760.0;Departed;LIMC;Airbus A320
Ryanair;FR 9475;1639845600.0;1639846020.0;Departed;LIRN;Airbus A320
Ryanair;FR 7364;1639842900.0;1639844820.0;Departed;EGSS;Airbus A320
Ryanair;FR 9480;1639840500.0;1639840800.0;Departed;EDDK;Airbus A320
Ryanair;FR 4385;1639840500.0;1639841040.0;Departed;EDLW;Airbus A320
Ryanair;FR 9126;1639839000.0;1639839360.0;Departed;EBCI;W38
Ryanair;FR 7366;1639834800.0;1639835100.0;Departed;EIDW;Airbus A320
Ryanair;FR 7291;1639832400.0;1639833660.0;Departed;LPPT;Airbus A320
Ryanair;FR 5567;1639825500.0;1639826880.0;Departed;EPMO;Airbus A320
Ryanair;FR 674;1639825200.0;1639826100.0;Departed;LYNI;Airbus A320
Ryanair;FR 182;1639823400.0;1639824420.0;Departed;LBSF;W38
Ryanair;FR 5734;1639822800.0;1639826700.0;Departed;OJAI;Airbus A320
Ryanair;FR 500;1639818900.0;1639820100.0;Delayed;LEPA;W38
Ryanair;FR 500;1639818900.0;1639821420.0;Departed;LEPA;W38
Ryanair;FR 4353;1639818000.0;1639818180.0;Departed;EGGP;Airbus A320
Ryanair;FR 7360;1639804500.0;1639805460.0;Departed;LIME;Boeing 737-800
Ryanair;FR 7531;1639803600.0;1639804200.0;Departed;GCFV;Airbus A320
Ryanair;FR 9768;1639803600.0;1639804140.0;Departed;LEZG;Airbus A320
Ryanair;FR 7348;1639802100.0;1639802700.0;Departed;EGSS;W38
Ryanair;FR 4789;1639801200.0;1639802040.0;Departed;GCTS;Airbus A320
Ryanair;FR 104;1639800600.0;1639801080.0;Departed;LEPA;Airbus A320
Ryanair;FR 7161;1639800000.0;1639800180.0;Departed;LLBG;Airbus A320
Ryanair;FR 7350;1639800000.0;1639800240.0;Departed;LEBL;Airbus A320
Ryanair;FR 9126;1639759800.0;1639761480.0;Departed;EBCI;W38
Ryanair;FR 214;1639758300.0;1639759500.0;Departed;LIMC;Airbus A320
Ryanair;FR 5765;1639758300.0;1639759920.0;Departed;LIRP;Airbus A320
Ryanair;FR 7364;1639756500.0;1639757760.0;Departed;EGSS;Airbus A320
Ryanair;FR 180;1639755900.0;1639755900.0;Departed;LGTS;Airbus A320
Ryanair;FR 7301;1639748700.0;1639748940.0;Departed;LMML;Airbus A320
Ryanair;FR 7275;1639748100.0;1639748880.0;Departed;LPPR;Airbus A320
Ryanair;FR 4767;1639745100.0;1639745400.0;Departed;LIPE;Airbus A320
Ryanair;FR 9480;1639743000.0;1639743960.0;Departed;EDDK;Airbus A320
Ryanair;FR 3809;1639741800.0;1639743420.0;Departed;LQBK;Airbus A320
Ryanair;FR 324;1639741500.0;1639742460.0;Departed;LFOB;Airbus A320
Ryanair;FR 7291;1639741200.0;1639744380.0;Departed;LPPT;Airbus A320
Ryanair;FR 7295;1639738500.0;1639738500.0;Departed;LLBG;Boeing 737-800
Ryanair;FR 7293;1639737600.0;1639738620.0;Departed;EVRA;W38
Ryanair;FR 5757;1639736100.0;1639737120.0;Departed;LZKZ;Airbus A320
Ryanair;FR 5693;1639735200.0;1639738140.0;Departed;EHEH;Airbus A320
Ryanair;FR 7360;1639734300.0;1639738380.0;Departed;LIME;Airbus A320
Ryanair;FR 9475;1639720500.0;1639720440.0;Departed;LIRN;Airbus A320
Ryanair;FR 7344;1639716000.0;1639715400.0;Departed;LIRF;Boeing 737-800
Ryanair;FR 7340;1639716000.0;1639716900.0;Departed;LEMD;Airbus A320
Ryanair;FR 7289;1639715400.0;1639716180.0;Departed;LEXJ;W38
Ryanair;FR 7350;1639714800.0;1639714980.0;Departed;LEBL;Airbus A320
Ryanair;FR 7306;1639713600.0;1639713720.0;Departed;EGGD;Airbus A320
Ryanair;FR 7161;1639713600.0;1639714500.0;Departed;LLBG;Airbus A320
Ryanair;FR 9477;1639712700.0;1639712940.0;Departed;LCPH;Airbus A320
Ryanair;FR 7191;1639712700.0;1639713060.0;Departed;LIRF;Airbus A320
Ryanair;FR 7360;1639674300.0;1639674420.0;Departed;LIME;Airbus A320
Ryanair;FR 9475;1639671000.0;1639671180.0;Departed;LIRN;Airbus A320
Ryanair;FR 7364;1639670100.0;1639671540.0;Departed;EGSS;Airbus A320
Ryanair;FR 7273;1639664400.0;1639664760.0;Departed;EGPH;Airbus A320
Ryanair;FR 2364;1639659300.0;1639659300.0;Departed;LPFR;Airbus A320
Ryanair;FR 7291;1639658400.0;1639659120.0;Departed;LPPT;Airbus A320
Ryanair;FR 9480;1639656600.0;1639657080.0;Departed;EDDK;Airbus A320
Ryanair;FR 5567;1639655100.0;1639655880.0;Departed;EPMO;Boeing 737 MAX 8
Ryanair;FR 182;1639654800.0;1639656240.0;Departed;LBSF;W38
Ryanair;FR 7299;1639651200.0;1639651560.0;Departed;LICC;Airbus A320
Ryanair;FR 975;1639648200.0;1639648800.0;Departed;UKBB;Airbus A320
Ryanair;FR 9477;1639634400.0;1639634760.0;Departed;LCPH;Airbus A320
Ryanair;FR 7344;1639629900.0;1639629900.0;Departed;LIRF;Airbus A320
Ryanair;FR 7320;1639629000.0;1639628580.0;Departed;EETN;Airbus A320
Ryanair;FR 7340;1639628700.0;1639628460.0;Departed;LEMD;Airbus A320
