"";"airline";"number";"scheduledTime";"actualTime";"status";"arrivalAirport";"aircraft";"diffMins"
"1";"KLM";"KL 2687";2021-12-29 05:40:00;2021-12-29 05:51:00;"Departed";"LEZL";"Boeing 737-800";11
"2";"KLM";"KL 2603";2021-12-29 06:30:00;2021-12-29 06:23:00;"Departed";"LOWI";"Boeing 737-800";-7
"3";"KLM";"KL 2657";2021-12-29 06:05:00;2021-12-29 06:02:00;"Departed";"LIRP";"Boeing 737-700 (winglets)";-3
"4";"KLM";"KL 2662";2021-12-29 06:00:00;2021-12-29 06:01:00;"Departed";"LOWS";"Boeing 737-800";1
"5";"KLM";"KL 2667";2021-12-29 06:25:00;2021-12-29 06:31:00;"Departed";"LPFR";"Boeing 737-800";6
"6";"KLM";"KL 1721";2021-12-29 05:50:00;2021-12-29 05:50:00;"Departed";"EBBR";"Embraer EMB 190";0
"7";"KLM";"KL 1853";2021-12-29 05:40:00;2021-12-29 05:47:00;"Departed";"EDDL";"Embraer EMB 190";7
"8";"KLM";"KL 1165";2021-12-29 05:45:00;2021-12-29 05:47:00;"Departed";"EFHK";"Embraer EMB 190";2
"9";"KLM";"KL 1141";2021-12-29 05:45:00;2021-12-29 05:45:00;"Departed";"ENGM";"Embraer EMB 175";0
"10";"KLM";"KL 1105";2021-12-29 05:55:00;2021-12-29 05:55:00;"Departed";"ESSA";"Embraer EMB 190";0
"11";"KLM";"KL 2641";2021-12-29 05:50:00;2021-12-29 05:53:00;"Departed";"LEAL";"Boeing 737-800 (winglets)";3
"12";"KLM";"KL 2649";2021-12-29 05:50:00;2021-12-29 05:49:00;"Departed";"LEMG";"Boeing 737-800";-1
"13";"KLM";"KL 1351";2021-12-29 05:50:00;2021-12-29 06:04:00;"Departed";"LKPR";"Embraer EMB 190";14
"14";"KLM";"KL 1925";2021-12-29 06:00:00;2021-12-29 06:06:00;"Departed";"LSGG";"Embraer 195-E2";6
"15";"KLM";"KL 1953";2021-12-29 05:50:00;2021-12-29 05:45:00;"Departed";"LSZH";"Boeing 737-700 (winglets)";-5
"16";"KLM";"KL 2017";2021-12-28 18:10:00;2021-12-28 18:07:00;"Departed";"LFPG";"Airbus A319";-3
"17";"KLM";"KL 1027";2021-12-28 17:50:00;2021-12-28 17:44:00;"Departed";"EGLL";"Boeing 737-700 (winglets)";-6
"18";"KLM";"KL 2740";2021-10-20 05:20:00;2021-10-20 05:23:00;"Departed";"LOWI";"Boeing 737-800";3
"19";"KLM";"KL 2607";2021-10-20 06:00:00;2021-10-20 05:59:00;"Departed";"LPPR";"Boeing 737-800 (winglets)";-1
"20";"KLM";"KL 2674";2021-10-20 06:05:00;2021-10-20 06:08:00;"Departed";"LEBL";"Boeing 737-800";3
"21";"KLM";"KL 1001";2021-10-20 05:20:00;2021-10-20 05:20:00;"Departed";"EGLL";"Boeing 737-700 (winglets)";0
"22";"KLM";"KL 1007";2021-10-20 06:35:00;2021-10-20 06:38:00;"Departed";"EGLL";"Boeing 737-700 (winglets)";3
"23";"KLM";"KL 1125";2021-10-20 05:20:00;2021-10-20 05:19:00;"Departed";"EKCH";"Embraer EMB 190";-1
"24";"KLM";"KL 983";2021-10-20 06:00:00;2021-10-20 05:54:00;"Departed";"EGLC";"Embraer EMB 190";-6
"25";"KLM";"KL 1763";2021-10-20 06:25:00;2021-10-20 06:24:00;"Departed";"EDDF";"Embraer EMB 175";-1
"26";"KLM";"KL 1665";2021-10-20 06:15:00;2021-10-20 06:35:00;"Departed";"LEBL";"Embraer EMB 175";20
"27";"KLM";"KL 2663";2021-10-20 07:05:00;2021-10-20 07:05:00;"Departed";"LEMG";"Boeing 737-800";0
"28";"KLM";"KL 1251";2021-10-20 06:10:00;2021-10-20 06:05:00;"Departed";"LFMN";"Embraer EMB 190";-5
"29";"KLM";"KL 1197";2021-10-20 06:15:00;2021-10-20 06:14:00;"Departed";"ENZV";"Embraer EMB 175";-1
"30";"KLM";"KL 1227";2021-10-20 05:15:00;2021-10-20 05:18:00;"Departed";"LFPG";"Boeing 737-800";3
