"";"airline";"number";"scheduledTime";"actualTime";"status";"arrivalAirport";"aircraft";"diffMins"
"1";"Lufthansa";"LH 2309";2021-12-28 17:50:00;2021-12-28 17:42:00;"Departed";"EDDM";"Canadair CRJ 900NG";-8
"2";"Lufthansa";"LH 1003";2021-10-20 06:05:00;2021-10-20 06:07:00;"Departed";"EDDF";"Airbus A319";2
"3";"Lufthansa";"LH 2301";2021-10-14 06:50:00;2021-10-14 07:27:00;"Departed";"EDDM";"Canadair CRJ 900NG";37
"4";"Lufthansa";"LH 999";2021-11-01 18:35:00;2021-11-01 18:35:00;"Departed";"EDDF";"Canadair CRJ 900NG";0
"5";"Lufthansa";"LH 2309";2021-11-01 17:50:00;2021-11-01 17:46:00;"Departed";"EDDM";"Embraer EMB 195";-4
"6";"Lufthansa";"LH 2307";2021-10-18 15:35:00;2021-10-18 15:45:00;"Departed";"EDDM";"Canadair CRJ 900NG";10
"7";"Lufthansa";"LH 2309";2021-12-31 17:50:00;2021-12-31 17:54:00;"Departed";"EDDM";"Canadair CRJ 900NG";4
"8";"Lufthansa";"LH 2311";2021-11-10 06:00:00;2021-11-10 06:22:00;"Departed";"EDDM";"Airbus A319";22
"9";"Lufthansa";"LH 1003";2021-11-10 06:40:00;2021-11-10 06:49:00;"Departed";"EDDF";"Airbus A319";9
"10";"Lufthansa";"LH 989";2021-12-30 09:55:00;2021-12-30 10:11:00;"Departed";"EDDF";"Airbus A320 NEO";16
"11";"Lufthansa";"LH 2303";2021-12-30 10:00:00;2021-12-30 10:21:00;"Departed";"EDDM";"Airbus A319";21
"12";"Lufthansa";"LH 1003";2021-11-06 06:40:00;2021-11-06 06:38:00;"Departed";"EDDF";"Airbus A320-200 (Sharklets)";-2
"13";"Lufthansa";"LH 2305";2021-10-27 13:40:00;2021-10-27 13:43:00;"Departed";"EDDM";"Canadair CRJ 900NG";3
"14";"Lufthansa";"LH 2301";2022-01-12 12:25:00;2022-01-12 12:36:00;"Departed";"EDDM";"Canadair CRJ 900NG";11
"15";"Lufthansa";"LH 2305";2021-10-11 13:40:00;2021-10-11 13:41:00;"Departed";"EDDM";"Airbus A320-100/200";1
"16";"Lufthansa";"LH 2307";2021-10-30 15:35:00;2021-10-30 15:58:00;"Departed";"EDDM";"Canadair CRJ 900NG";23
"17";"Lufthansa";"LH 2309";2021-10-31 17:50:00;2021-10-31 17:52:00;"Departed";"EDDM";"Canadair CRJ 900NG";2
"18";"Lufthansa";"LH 999";2021-10-31 18:35:00;2021-10-31 18:37:00;"Departed";"EDDF";"Airbus A319";2
"19";"Lufthansa";"LH 1003";2021-10-26 06:05:00;2021-10-26 06:06:00;"Departed";"EDDF";"Airbus A319";1
"20";"Lufthansa";"LH 2301";2021-10-26 06:50:00;2021-10-26 06:47:00;"Departed";"EDDM";"Canadair CRJ 900NG";-3
"21";"Lufthansa";"LH 2309";2021-12-27 17:50:00;2021-12-27 17:54:00;"Departed";"EDDM";"Canadair CRJ 900NG";4
"22";"Lufthansa";"LH 2305";2021-11-08 12:40:00;2021-11-08 12:34:00;"Departed";"EDDM";"Canadair CRJ 900NG";-6
"23";"Lufthansa";"LH 987";2021-11-11 09:55:00;2021-11-11 10:03:00;"Departed";"EDDF";"Embraer EMB 190";8
"24";"Lufthansa";"LH 1003";2021-10-19 06:05:00;2021-10-19 06:16:00;"Departed";"EDDF";"Airbus A319";11
"25";"Lufthansa";"LH 2301";2021-10-19 06:50:00;2021-10-19 06:54:00;"Departed";"EDDM";"Canadair CRJ 900NG";4
"26";"Lufthansa";"LH 993";2021-11-02 13:45:00;2021-11-02 13:48:00;"Departed";"EDDF";"Airbus A320-200 (Sharklets)";3
"27";"Lufthansa";"LH 2303";2022-01-01 07:50:00;2022-01-01 08:08:00;"Departed";"EDDM";"Airbus A320-100/200";18
"28";"Lufthansa";"LH 2301";2021-10-27 06:50:00;2021-10-27 06:45:00;"Departed";"EDDM";"Canadair CRJ 900NG";-5
"29";"Lufthansa";"LH 987";2021-11-04 09:55:00;2021-11-04 09:59:00;"Departed";"EDDF";"Embraer EMB 195";4
"30";"Lufthansa";"LH 2303";2021-11-04 10:00:00;2021-11-04 10:02:00;"Departed";"EDDM";"Embraer EMB 195";2
"31";"Lufthansa";"LH 2305";2022-01-14 12:25:00;2022-01-14 12:22:00;"Departed";"EDDM";"Canadair CRJ 900NG";-3
"32";"Lufthansa";"LH 1003";2021-11-02 06:40:00;2021-11-02 06:44:00;"Departed";"EDDF";"Airbus A320-200 (Sharklets)";4
"33";"Lufthansa";"LH 2311";2021-11-02 06:00:00;2021-11-02 05:57:00;"Departed";"EDDM";"Airbus A319";-3
"34";"Lufthansa";"LH 997";2021-10-17 16:30:00;2021-10-17 16:41:00;"Departed";"EDDF";"Airbus A319";11
"35";"Lufthansa";"LH 2307";2021-10-17 15:35:00;2021-10-17 15:57:00;"Departed";"EDDM";"Canadair CRJ 900NG";22
"36";"Lufthansa";"LH 2305";2021-11-01 12:25:00;2021-11-01 12:43:00;"Departed";"EDDM";"Embraer EMB 195";18
"37";"Lufthansa";"LH 989";2021-10-27 09:15:00;2021-10-27 09:19:00;"Departed";"EDDF";"Airbus A319";4
"38";"Lufthansa";"LH 2305";2021-11-06 12:25:00;2021-11-06 12:43:00;"Departed";"EDDM";"Canadair CRJ 900NG";18
"39";"Lufthansa";"LH 2305";2022-01-09 12:25:00;2022-01-09 12:27:00;"Departed";"EDDM";"Airbus A319";2
