"";"airline";"number";"scheduledTime";"actualTime";"status";"arrivalAirport";"aircraft";"diffMins"
"1";"Vueling";"VY 8311";2021-12-29 06:00:00;2021-12-29 06:03:00;"Departed";"LEBL";"Airbus A320";3
"2";"Vueling";"VY 8367";2021-12-29 06:15:00;2021-12-29 06:19:00;"Departed";"LEMG";"Airbus A320";4
"3";"Vueling";"VY 8320";2021-12-28 18:00:00;2021-12-28 17:54:00;"Departed";"LEBL";"Airbus A321";-6
"4";"Vueling";"VY 8301";2021-10-14 08:15:00;2021-10-14 08:47:00;"Departed";"LEBL";"Airbus A320";32
"5";"Vueling";"VY 8308";2021-11-01 18:20:00;2021-11-01 18:21:00;"Departed";"LEBL";"Airbus A320";1
"6";"Vueling";"VY 6291";2021-11-01 18:55:00;2021-11-01 18:57:00;"Departed";"LIRF";"Airbus A320-100/200";2
"7";"Vueling";"VY 8314";2022-01-08 15:20:00;2022-01-08 15:09:00;"Departed";"LEBL";"Airbus A320";-11
"8";"Vueling";"VY 8305";2021-10-15 19:45:00;2021-10-15 19:55:00;"Departed";"LEBL";"Airbus A321-100/200";10
"9";"Vueling";"VY 6293";2021-10-18 15:25:00;2021-10-18 15:23:00;"Departed";"LIRF";"Airbus A320-100/200";-2
"10";"Vueling";"VY 8351";2021-10-18 15:45:00;2021-10-18 15:49:00;"Departed";"LEVC";"Airbus A320";4
"11";"Vueling";"VY 8355";2021-11-07 15:20:00;2021-11-07 15:25:00;"Departed";"LEBB";"Airbus A320-200 (Sharklets)";5
"12";"Vueling";"VY 6291";2021-12-29 08:35:00;2021-12-29 08:53:00;"Departed";"LIRF";"Airbus A320-200 (Sharklets)";18
"13";"Vueling";"VY 8320";2021-12-31 18:00:00;2021-12-31 17:55:00;"Departed";"LEBL";"Airbus A320";-5
"14";"Vueling";"VY 8311";2021-11-10 06:00:00;2021-11-10 06:10:00;"Departed";"LEBL";"Airbus A320";10
"15";"Vueling";"VY 8317";2021-12-30 09:25:00;2021-12-30 09:56:00;"Departed";"LEBL";"Airbus A320";31
"16";"Vueling";"VY 6291";2022-01-13 08:45:00;2022-01-13 08:53:00;"Departed";"LIRF";"Airbus A320-100/200";8
"17";"Vueling";"VY 8317";2022-01-13 09:25:00;2022-01-13 13:08:00;"Departed";"LEBL";"Airbus A320";223
"18";"Vueling";"VY 8311";2021-11-06 06:00:00;2021-11-06 06:21:00;"Departed";"LEBL";"Airbus A320-200 (Sharklets)";21
"19";"Vueling";"VY 8312";2022-01-09 19:40:00;2022-01-09 19:48:00;"Departed";"LEBL";"Airbus A320";8
"20";"Vueling";"VY 6291";2022-01-09 20:00:00;2022-01-09 20:01:00;"Departed";"LIRF";"Airbus A320-100/200";1
"21";"Vueling";"VY 8305";2022-01-09 20:45:00;2022-01-09 20:00:00;"Departed";"LEBL";"Airbus A320-100/200";-45
"22";"Vueling";"VY 1375";2022-01-09 19:50:00;2022-01-09 20:22:00;"Departed";"LEAL";"Airbus A320-100/200";32
"23";"Vueling";"VY 6291";2021-11-05 18:55:00;2021-11-05 19:19:00;"Departed";"LIRF";"Airbus A320-100/200";24
"24";"Vueling";"VY 1375";2021-11-05 19:35:00;2021-11-05 19:56:00;"Departed";"LEAL";"Airbus A320-100/200";21
"25";"Vueling";"VY 8312";2021-11-05 19:40:00;2021-11-05 20:03:00;"Departed";"LEBL";"Airbus A320";23
"26";"Vueling";"VY 8352";2021-11-05 20:10:00;2021-11-05 20:29:00;"Departed";"LEVC";"Airbus A320-100/200";19
"27";"Vueling";"VY 6815";2021-11-05 20:20:00;2021-11-05 20:52:00;"Departed";"LIRQ";"Airbus A319";32
"28";"Vueling";"VY 8305";2021-11-05 20:45:00;2021-11-05 21:03:00;"Departed";"LEBL";"Airbus A320-200 (Sharklets)";18
"29";"Vueling";"VY 8301";2021-10-28 08:15:00;2021-10-28 08:32:00;"Departed";"LEBL";"Airbus A321-100/200";17
"30";"Vueling";"VY 8317";2022-01-10 09:25:00;2022-01-10 09:18:00;"Departed";"LEBL";"Airbus A320";-7
"31";"Vueling";"VY 8303";2021-10-27 13:10:00;2021-10-27 13:21:00;"Departed";"LEBL";"Airbus A320";11
"32";"Vueling";"VY 8303";2021-10-11 13:10:00;2021-10-11 13:22:00;"Departed";"LEBL";"Airbus A320-100/200";12
"33";"Vueling";"VY 8367";2021-10-31 18:55:00;2021-10-31 18:56:00;"Departed";"LEMG";"Airbus A320";1
"34";"Vueling";"VY 8320";2021-12-27 18:20:00;2021-12-27 18:22:00;"Departed";"LEBL";"Airbus A321-200 (Sharklets)";2
"35";"Vueling";"VY 1375";2021-10-27 12:10:00;2021-10-27 12:18:00;"Departed";"LEAL";"Airbus A320-100/200";8
"36";"Vueling";"VY 6815";2021-11-11 10:25:00;2021-11-11 10:24:00;"Departed";"LIRQ";"Airbus A319";-1
"37";"Vueling";"VY 8355";2021-10-17 12:45:00;2021-10-17 12:59:00;"Departed";"LEBB";"Airbus A320-100/200";14
"38";"Vueling";"VY 8435";2021-11-02 13:40:00;2021-11-02 13:38:00;"Departed";"LPPT";"Airbus A320";-2
"39";"Vueling";"VY 8367";2021-10-29 17:55:00;2021-10-29 17:58:00;"Departed";"LEMG";"Airbus A320";3
"40";"Vueling";"VY 8351";2021-10-29 19:05:00;2021-10-29 18:58:00;"Departed";"LEVC";"Airbus A320";-7
"41";"Vueling";"VY 8301";2021-11-04 09:25:00;2021-11-04 09:28:00;"Departed";"LEBL";"Airbus A320";3
"42";"Vueling";"VY 6815";2021-11-04 10:25:00;2021-11-04 10:36:00;"Departed";"LIRQ";"Airbus A319";11
"43";"Vueling";"VY 8355";2021-11-04 11:05:00;2021-11-04 11:04:00;"Departed";"LEBB";"Airbus A320-100/200";-1
"44";"Vueling";"VY 8312";2021-12-27 19:40:00;2021-12-27 19:52:00;"Departed";"LEBL";"Airbus A320";12
"45";"Vueling";"VY 8352";2021-12-27 20:20:00;2021-12-27 20:20:00;"Departed";"LEVC";"Airbus A320-100/200";0
"46";"Vueling";"VY 8367";2022-01-14 11:55:00;2022-01-14 12:00:00;"Departed";"LEMG";"Airbus A320-100/200";5
"47";"Vueling";"VY 8311";2021-11-02 06:00:00;2021-11-02 06:06:00;"Departed";"LEBL";"Airbus A320";6
"48";"Vueling";"VY 8301";2021-11-13 09:25:00;2021-11-13 09:42:00;"Departed";"LEBL";"Airbus A319";17
"49";"Vueling";"VY 8314";2021-11-11 15:20:00;2021-11-11 15:16:00;"Departed";"LEBL";"Airbus A320";-4
"50";"Vueling";"VY 8305";2021-10-14 19:45:00;2021-10-14 19:57:00;"Departed";"LEBL";"Airbus A320";12
"51";"Vueling";"VY 6293";2021-10-14 19:45:00;2021-10-14 20:11:00;"Departed";"LIRF";"Airbus A320-200 (Sharklets)";26
"52";"Vueling";"VY 8314";2021-11-08 15:20:00;2021-11-08 16:14:00;"Departed";"LEBL";"Airbus A320";54
"53";"Vueling";"VY 6295";2021-10-27 09:20:00;2021-10-27 09:25:00;"Departed";"LIRF";"Airbus A320";5
"54";"Vueling";"VY 202P";2021-11-06 12:30:00;2021-11-06 12:34:00;"Departed";"LEBL";"Airbus A320";4
"55";"Vueling";"VY 8367";2021-11-06 11:25:00;2021-11-06 11:36:00;"Departed";"LEMG";"Airbus A320";11
"56";"Vueling";"VY 8314";2021-11-13 15:20:00;2021-11-13 15:23:00;"Departed";"LEBL";"Airbus A320";3
"57";"Vueling";"VY 6293";2021-10-16 14:55:00;2021-10-16 14:53:00;"Departed";"LIRF";"Airbus A320-100/200";-2
"58";"Vueling";"VY 8314";2021-11-04 15:20:00;2021-11-04 15:53:00;"Departed";"LEBL";"Airbus A320-200 (Sharklets)";33
"59";"Vueling";"VY 8367";2021-11-11 18:50:00;2021-11-11 18:46:00;"Departed";"LEMG";"Airbus A320";-4
"60";"Vueling";"VY 8312";2021-11-01 19:40:00;2021-11-01 19:43:00;"Departed";"LEBL";"Airbus A320-100/200";3
"61";"Vueling";"VY 8352";2021-11-01 20:10:00;2021-11-01 20:13:00;"Departed";"LEVC";"Airbus A320-200 (Sharklets)";3
