"";"airline";"number";"scheduledTime";"actualTime";"status";"arrivalAirport";"aircraft";"diffMins"
"1";"Austrian";"OS 7479";2021-11-19 10:35:00;2021-11-19 10:35:00;"Departed";"ESGG";"Airbus A320-100/200";0
"2";"Austrian";"OS 7248";2021-12-15 20:30:00;2021-12-15 20:30:00;"Departed";"LOWS";"Airbus A319";0
"3";"Austrian";"OS 7433";2021-12-15 20:40:00;2021-12-15 20:40:00;"Departed";"ESGG";"Airbus A320-200 (Sharklets)";0
"4";"Austrian";"OS 7443";2021-12-15 20:40:00;2021-12-15 20:40:00;"Departed";"EFHK";"Airbus A320-200 (Sharklets)";0
"5";"Austrian";"OS 7471";2021-10-30 19:20:00;2021-10-30 19:40:00;"Departed";"EIDW";"Airbus A320-200 (Sharklets)";20
"6";"Austrian";"OS 7375";2021-10-30 19:45:00;2021-10-30 19:45:00;"Departed";"EGCC";"Airbus A320-200 (Sharklets)";0
"7";"Austrian";"OS 7433";2021-10-30 19:45:00;2021-10-30 19:45:00;"Departed";"ESGG";"Airbus A320-100/200";0
"8";"Austrian";"OS 7315";2021-10-30 20:05:00;2021-10-30 19:55:00;"Departed";"FAOR";"Boeing 747-8 Intercontinental";-10
"9";"Austrian";"OS 7246";2021-10-31 08:00:00;2021-10-31 08:00:00;"Departed";"LOWS";"Airbus A320-100/200";0
"10";"Austrian";"OS 7485";2021-10-31 08:35:00;2021-10-31 08:35:00;"Departed";"ESGG";"Airbus A320";0
"11";"Austrian";"OS 7327";2021-10-31 08:10:00;2021-10-31 08:45:00;"Departed";"LPPT";"Airbus A321";35
"12";"Austrian";"OS 7439";2021-10-31 08:45:00;2021-10-31 08:45:00;"Departed";"EFHK";"Airbus A320";0
"13";"Austrian";"OS 8281";2021-10-31 08:45:00;2021-10-31 08:45:00;"Departed";"CYYZ";"Boeing 777-300ER";0
"14";"Austrian";"OS 7469";2021-10-31 08:50:00;2021-10-31 08:50:00;"Departed";"EIDW";"Airbus A320 NEO";0
"15";"Austrian";"OS 122";2021-10-31 08:50:00;2021-10-31 09:05:00;"Departed";"LOWW";"Airbus A319";15
"16";"Austrian";"OS 7226";2021-11-19 11:20:00;2021-11-19 11:20:00;"Departed";"LOWG";"Embraer EMB 190";0
"17";"Austrian";"OS 130";2021-11-19 11:50:00;2021-11-19 11:50:00;"Departed";"LOWW";"Airbus A320-100/200";0
"18";"Austrian";"OS 7305";2022-01-13 14:00:00;2022-01-13 14:00:00;"Departed";"LEBB";"Airbus A320 NEO";0
