"";"airline";"number";"scheduledTime";"actualTime";"status";"arrivalAirport";"aircraft";"diffMins"
"1";"Lufthansa";"LH 1536";2021-11-11 21:10:00;2021-11-11 21:10:00;"Departed";"UKLL";"Airbus A320";0
"2";"Lufthansa";"LH 506";2021-11-11 20:55:00;2021-11-11 21:20:00;"Departed";"SBGR";"Boeing 747-8 Intercontinental";25
"3";"Lufthansa";"LH 9416";2021-11-20 13:10:00;2021-11-20 13:10:00;"Departed";"LTBJ";"Boeing 737-800 (winglets)";0
"4";"Lufthansa";"LH 9657";2021-11-20 13:15:00;2021-11-20 13:15:00;"Departed";"OMAA";"Boeing 787";0
"5";"Lufthansa";"LH 294";2021-11-20 13:15:00;2021-11-20 13:15:00;"Departed";"LIBD";"Canadair CRJ 900NG";0
"6";"Lufthansa";"LH 600";2021-11-20 13:00:00;2021-11-20 13:20:00;"Departed";"OIIE";"Airbus A330-300";20
"7";"Lufthansa";"LH 692";2021-11-20 13:50:00;2021-11-20 13:50:00;"Departed";"OJAI";"Airbus A319";0
"8";"Lufthansa";"LH 630";2021-11-20 12:30:00;2021-11-20 13:10:00;"Departed";"OMDB";"Boeing 747-400";40
"9";"Lufthansa";"LH 7014";2021-11-20 11:35:00;2021-11-20 14:00:00;"Delayed";"VHHH";"Airbus A350";145
"10";"Lufthansa";"LH 5928";2021-11-19 10:15:00;2021-11-19 10:15:00;"Departed";"LGTS";"Airbus A321 NEO";0
"11";"Lufthansa";"LH 594";2021-11-19 10:15:00;2021-11-19 10:15:00;"Departed";"DNAA";"Airbus A330-300";0
"12";"Lufthansa";"LH 182";2021-11-19 10:45:00;2021-11-19 10:45:00;"Departed";"EDDB";"Airbus A321-100/200";0
"13";"Lufthansa";"LH 816";2021-11-19 10:35:00;2021-11-19 10:35:00;"Departed";"ESGG";"Airbus A320-100/200";0
"14";"Lufthansa";"LH 802";2021-11-19 10:10:00;2021-11-19 10:30:00;"Departed";"ESSA";"Airbus A320-200 (Sharklets)";20
"15";"Lufthansa";"LH 890";2021-11-19 09:55:00;2021-11-19 10:15:00;"Departed";"EVRA";"Airbus A320";20
"16";"Lufthansa";"LH 886";2021-11-19 10:20:00;2021-11-19 10:20:00;"Departed";"EYVI";"Airbus A320-100/200";0
"17";"Lufthansa";"LH 590";2021-11-19 10:15:00;2021-11-19 10:15:00;"Departed";"HKJK";"Airbus A330-300";0
"18";"Lufthansa";"LH 422";2021-11-19 10:10:00;2021-11-19 10:10:00;"Departed";"KBOS";"Airbus A340-300";0
"19";"Lufthansa";"LH 400";2021-11-19 09:55:00;2021-11-19 10:35:00;"Departed";"KJFK";"Boeing 747-400";40
"20";"Lufthansa";"LH 1424";2021-11-19 10:10:00;2021-11-19 10:10:00;"Departed";"LATI";"Airbus A320";0
"21";"Lufthansa";"LH 232";2021-11-19 09:55:00;2021-11-19 10:10:00;"Departed";"LIRF";"Airbus A321-100/200";15
"22";"Lufthansa";"LH 334";2021-11-19 10:20:00;2021-11-19 10:20:00;"Departed";"LIRN";"Airbus A320-200 (Sharklets)";0
"23";"Lufthansa";"LH 1406";2021-11-19 10:05:00;2021-11-19 10:20:00;"Departed";"LYBE";"Airbus A320-200 (Sharklets)";15
"24";"Lufthansa";"LH 1428";2022-01-15 18:15:00;2022-01-15 18:15:00;"Departed";"LBSF";"Airbus A319";0
"25";"Lufthansa";"LH 997";2022-01-15 18:40:00;2022-01-15 18:40:00;"Departed";"EHAM";"Embraer EMB 190";0
"26";"Lufthansa";"LH 96";2021-12-12 07:15:00;2021-12-12 07:15:00;"Departed";"EDDM";"Airbus A320-100/200";0
"27";"Lufthansa";"LH 1028";2021-12-12 07:20:00;2021-12-12 07:20:00;"Departed";"LFPG";"Airbus A320-100/200";0
"28";"Lufthansa";"LH 1058";2021-12-12 07:25:00;2021-12-12 07:25:00;"Departed";"LFMN";"Airbus A320-200 (Sharklets)";0
"29";"Lufthansa";"LH 1086";2021-12-12 07:35:00;2021-12-12 07:35:00;"Departed";"LFML";"Airbus A320 NEO";0
"30";"Lufthansa";"LH 122";2021-12-15 20:15:00;2021-12-15 20:15:00;"Departed";"EDDM";"Airbus A320-100/200";0
"31";"Lufthansa";"LH 202";2021-12-15 20:15:00;2021-12-15 20:15:00;"Departed";"EDDB";"Airbus A320-100/200";0
"32";"Lufthansa";"LH 36";2021-12-15 20:30:00;2021-12-15 20:30:00;"Departed";"EDDH";"Airbus A320-100/200";0
"33";"Lufthansa";"LH 88";2021-12-15 20:30:00;2021-12-15 20:30:00;"Departed";"EDDL";"Airbus A319";0
"34";"Lufthansa";"LH 58";2021-12-15 20:20:00;2021-12-15 20:20:00;"Departed";"EDDV";"Airbus A319";0
"35";"Lufthansa";"LH 854";2021-12-15 20:40:00;2021-12-15 20:40:00;"Departed";"EFHK";"Airbus A320-200 (Sharklets)";0
"36";"Lufthansa";"LH 216";2021-12-15 20:20:00;2021-12-15 20:20:00;"Departed";"EDDC";"Airbus A319";0
"37";"Lufthansa";"LH 864";2021-12-15 20:40:00;2021-12-15 20:40:00;"Departed";"ENGM";"Airbus A321";0
"38";"Lufthansa";"LH 1352";2021-12-15 20:10:00;2021-12-15 20:10:00;"Departed";"EPWA";"Airbus A320-200 (Sharklets)";0
"39";"Lufthansa";"LH 922";2021-12-15 20:30:00;2021-12-15 20:30:00;"Departed";"EGLL";"Airbus A320 NEO";0
"40";"Lufthansa";"LH 820";2021-12-15 20:40:00;2021-12-15 20:40:00;"Departed";"ESGG";"Airbus A320-200 (Sharklets)";0
"41";"Lufthansa";"LH 808";2021-12-15 20:30:00;2021-12-15 20:30:00;"Departed";"ESSA";"Airbus A321-100/200";0
"42";"Lufthansa";"LH 842";2021-12-15 20:55:00;2021-12-15 20:55:00;"Departed";"EKBI";"Airbus A320-200 (Sharklets)";0
"43";"Lufthansa";"LH 1138";2021-12-15 20:15:00;2021-12-15 20:15:00;"Departed";"LEBL";"Airbus A320-100/200";0
"44";"Lufthansa";"LH 1068";2021-12-15 20:20:00;2021-12-15 20:20:00;"Departed";"LFMN";"Airbus A320";0
"45";"Lufthansa";"LH 1050";2021-12-15 20:15:00;2021-12-15 20:15:00;"Departed";"LFPG";"Airbus A320";0
"46";"Lufthansa";"LH 1342";2021-12-15 20:20:00;2021-12-15 20:20:00;"Departed";"LHBP";"Airbus A320";0
"47";"Lufthansa";"LH 332";2021-12-15 20:30:00;2021-12-15 20:30:00;"Departed";"LIPZ";"Airbus A320-100/200";0
"48";"Lufthansa";"LH 1380";2021-12-15 20:15:00;2021-12-15 20:15:00;"Departed";"EPPO";"Canadair CRJ 900NG";0
"49";"Lufthansa";"LH 778";2021-12-15 20:25:00;2021-12-15 20:25:00;"Departed";"WSSS";"Airbus A340-300";0
"50";"Lufthansa";"LH 1108";2021-12-15 20:30:00;2021-12-15 20:30:00;"Departed";"LOWS";"Airbus A319";0
"51";"Lufthansa";"LH 1208";2021-10-30 19:40:00;2021-10-30 19:40:00;"Departed";"LFSB";"Canadair CRJ 900NG";0
"52";"Lufthansa";"LH 1294";2021-10-30 19:40:00;2021-10-30 19:40:00;"Departed";"LCLK";"Airbus A321 NEO";0
"53";"Lufthansa";"LH 30";2021-10-30 19:40:00;2021-10-30 19:40:00;"Departed";"EDDH";"Airbus A320-100/200";0
"54";"Lufthansa";"LH 398";2021-10-30 19:40:00;2021-10-30 19:40:00;"Departed";"ELLX";"Canadair CRJ 900NG";0
"55";"Lufthansa";"LH 842";2021-10-30 19:40:00;2021-10-30 19:40:00;"Departed";"EKBI";"Airbus A320-200 (Sharklets)";0
"56";"Lufthansa";"LH 88";2021-10-30 19:40:00;2021-10-30 19:40:00;"Departed";"EDDL";"Airbus A319";0
"57";"Lufthansa";"LH 982";2021-10-30 19:20:00;2021-10-30 19:40:00;"Departed";"EIDW";"Airbus A320-200 (Sharklets)";20
"58";"Lufthansa";"LH 216";2021-10-30 19:40:00;2021-10-30 19:40:00;"Departed";"EDDC";"Embraer EMB 190";0
"59";"Lufthansa";"LH 136";2021-10-30 19:45:00;2021-10-30 19:45:00;"Departed";"EDDS";"Airbus A319";0
"60";"Lufthansa";"LH 1536";2021-10-30 19:45:00;2021-10-30 19:45:00;"Departed";"UKLL";"Airbus A319";0
"61";"Lufthansa";"LH 360";2021-10-30 19:45:00;2021-10-30 19:45:00;"Departed";"EDDW";"Embraer EMB 195";0
"62";"Lufthansa";"LH 58";2021-10-30 19:45:00;2021-10-30 19:45:00;"Departed";"EDDV";"Airbus A321-100/200";0
"63";"Lufthansa";"LH 820";2021-10-30 19:45:00;2021-10-30 19:45:00;"Departed";"ESGG";"Airbus A320-100/200";0
"64";"Lufthansa";"LH 948";2021-10-30 19:45:00;2021-10-30 19:45:00;"Departed";"EGCC";"Airbus A320-200 (Sharklets)";0
"65";"Lufthansa";"LH 506";2021-10-30 19:40:00;2021-10-30 19:40:00;"Departed";"SBGR";"Boeing 747-200";0
"66";"Lufthansa";"LH 1402";2021-10-30 19:40:00;2021-10-30 19:40:00;"Departed";"LKPR";"Airbus A320-200 (Sharklets)";0
"67";"Lufthansa";"LH 778";2021-10-30 19:55:00;2021-10-30 19:55:00;"Departed";"WSSS";"Airbus A340-300";0
"68";"Lufthansa";"LH 572";2021-10-30 20:05:00;2021-10-30 19:55:00;"Departed";"FAOR";"Boeing 747-8 Intercontinental";-10
"69";"Lufthansa";"LH 176";2021-10-31 07:45:00;2021-10-31 07:45:00;"Departed";"EDDB";"Airbus A320";0
"70";"Lufthansa";"LH 270";2021-10-31 07:45:00;2021-10-31 07:45:00;"Departed";"LIML";"Airbus A319";0
"71";"Lufthansa";"LH 1160";2021-10-31 08:40:00;2021-10-31 07:50:00;"Departed";"LEVC";"Airbus A321-100/200";-50
"72";"Lufthansa";"LH 1074";2021-10-31 07:55:00;2021-10-31 07:55:00;"Departed";"LFLL";"Airbus A320 NEO";0
