"";"airline";"number";"scheduledTime";"actualTime";"status";"arrivalAirport";"aircraft";"diffMins"
"1";"Austrian";"OS 385";2022-01-16 08:40:00;2022-01-16 08:56:00;"Departed";"LEMG";"Airbus A320";16
"2";"Austrian";"OS 849";2022-01-15 21:40:00;2022-01-15 21:47:00;"Departed";"LATI";"Embraer EMB 195";7
"3";"Austrian";"OS 317";2022-01-15 20:00:00;2022-01-15 20:13:00;"Departed";"ESSA";"Airbus A320";13
"4";"Austrian";"OS 17";2022-01-15 19:25:00;2022-01-15 19:47:00;"Departed";"FIMP";"Boeing 777-200";22
"5";"Austrian";"OS 515";2022-01-15 16:50:00;2022-01-15 16:48:00;"Departed";"LIMC";"Embraer 195";-2
"6";"Austrian";"OS 187";2022-01-15 16:45:00;2022-01-15 16:51:00;"Departed";"EDDS";"Embraer EMB 195";6
"7";"Austrian";"OS 305";2022-01-15 16:40:00;2022-01-15 16:46:00;"Departed";"EKCH";"Embraer EMB 195";6
"8";"Austrian";"OS 901";2022-01-15 16:40:00;2022-01-15 16:46:00;"Departed";"LOWI";"Embraer EMB 195";6
"9";"Austrian";"OS 575";2022-01-15 16:35:00;2022-01-15 16:44:00;"Departed";"LSGG";"Embraer EMB 195";9
"10";"Austrian";"OS 125";2022-01-15 16:35:00;2022-01-15 16:45:00;"Departed";"EDDF";"Embraer EMB 195";10
"11";"Austrian";"OS 355";2022-01-15 16:30:00;2022-01-15 16:42:00;"Departed";"EBBR";"Embraer EMB 195";12
"12";"Austrian";"OS 455";2022-01-15 16:30:00;2022-01-15 16:49:00;"Departed";"EGLL";"Airbus A320-200";19
"13";"Austrian";"OS 905";2022-01-15 11:55:00;2022-01-15 11:53:00;"Departed";"LOWI";"Embraer EMB 195";-2
"14";"Austrian";"OS 727";2022-01-15 11:55:00;2022-01-15 11:54:00;"Departed";"LYPG";"Embraer 195";-1
"15";"Austrian";"OS 797";2022-01-15 11:50:00;2022-01-15 11:57:00;"Departed";"LBSF";"Embraer EMB 195";7
"16";"Austrian";"OS 791";2022-01-15 11:35:00;2022-01-15 11:48:00;"Departed";"LROP";"Airbus A320-100/200";13
"17";"Austrian";"OS 9505";2022-01-15 10:30:00;2022-01-15 10:47:00;"Departed";"GCTS";"Airbus A320";17
"18";"Austrian";"OS 87";2022-01-15 09:45:00;2022-01-15 09:56:00;"Departed";"KJFK";"Boeing 777-200";11
"19";"Austrian";"OS 831";2022-01-15 08:40:00;2022-01-15 08:56:00;"Departed";"LCLK";"Airbus A320-200 (Sharklets)";16
"20";"Austrian";"OS 291";2022-01-15 06:40:00;2022-01-15 06:47:00;"Departed";"EDDV";"Embraer EMB 195";7
"21";"Austrian";"OS 223";2022-01-15 06:40:00;2022-01-15 06:48:00;"Departed";"EDDB";"Embraer 195";8
"22";"Austrian";"OS 151";2022-01-15 06:35:00;2022-01-15 06:42:00;"Departed";"EDDL";"Embraer 195";7
"23";"Austrian";"OS 561";2022-01-15 06:35:00;2022-01-15 06:44:00;"Departed";"LSZH";"Airbus A320-100/200";9
"24";"Austrian";"OS 571";2022-01-15 06:35:00;2022-01-15 06:51:00;"Departed";"LSGG";"Embraer EMB 195";16
"25";"Austrian";"OS 175";2022-01-15 06:35:00;2022-01-15 06:55:00;"Departed";"EDDH";"Embraer EMB 195";20
"26";"Austrian";"OS 121";2022-01-15 06:15:00;2022-01-15 06:45:00;"Departed";"EDDF";"Embraer EMB 195";30
"27";"Austrian";"OS 451";2022-01-15 05:45:00;2022-01-15 05:56:00;"Departed";"EGLL";"Airbus A320-100/200";11
"28";"Austrian";"OS 25";2022-01-14 22:20:00;2022-01-14 22:26:00;"Departed";"VTBS";"Boeing 777-200";6
"29";"Austrian";"OS 679";2022-01-14 21:45:00;2022-01-14 21:45:00;"Departed";"UKDE";"Boeing 777-200";0
"30";"Austrian";"OS 975";2022-01-14 21:45:00;2022-01-14 21:47:00;"Departed";"LOWG";"Embraer EMB 195";2
"31";"Austrian";"OS 849";2022-01-14 21:40:00;2022-01-14 22:02:00;"Departed";"LATI";"Airbus A320-100/200";22
"32";"Austrian";"OS 913";2022-01-14 20:55:00;2022-01-14 20:57:00;"Departed";"LOWI";"Embraer 195";2
"33";"Austrian";"OS 759";2022-01-14 20:55:00;2022-01-14 20:56:00;"Departed";"LQSA";"Embraer 195";1
"34";"Austrian";"OS 317";2022-01-14 20:00:00;2022-01-14 20:14:00;"Departed";"ESSA";"Airbus A320";14
"35";"Austrian";"OS 515";2022-01-14 16:50:00;2022-01-14 16:57:00;"Departed";"LIMC";"Embraer 195";7
"36";"Austrian";"OS 187";2022-01-14 16:45:00;2022-01-14 16:52:00;"Departed";"EDDS";"Embraer EMB 195";7
"37";"Austrian";"OS 305";2022-01-14 16:40:00;2022-01-14 16:48:00;"Departed";"EKCH";"Embraer EMB 195";8
"38";"Austrian";"OS 473";2022-01-14 16:40:00;2022-01-14 16:42:00;"Departed";"LFSB";"Embraer EMB 195";2
"39";"Austrian";"OS 575";2022-01-14 16:35:00;2022-01-14 16:44:00;"Departed";"LSGG";"Embraer EMB 195";9
"40";"Austrian";"OS 115";2022-01-14 16:30:00;2022-01-14 16:35:00;"Delayed";"EDDM";"Embraer 195";5
"41";"Austrian";"OS 863";2022-01-14 12:45:00;2022-01-14 12:58:00;"Departed";"HECA";"Airbus A321";13
"42";"Austrian";"OS 797";2022-01-14 11:50:00;2022-01-14 11:56:00;"Departed";"LBSF";"Embraer 195";6
"43";"Austrian";"OS 153";2022-01-14 11:40:00;2022-01-14 11:51:00;"Departed";"EDDL";"Airbus A320-100/200";11
"44";"Austrian";"OS 791";2022-01-14 11:35:00;2022-01-14 11:46:00;"Departed";"LROP";"Airbus A320-100/200";11
"45";"Austrian";"OS 809";2022-01-14 11:35:00;2022-01-14 11:48:00;"Departed";"LGTS";"Embraer EMB 195";13
"46";"Austrian";"OS 831";2022-01-14 11:35:00;2022-01-14 11:55:00;"Departed";"LCLK";"Airbus A320-100/200";20
"47";"Austrian";"OS 89";2022-01-14 09:25:00;2022-01-14 09:43:00;"Departed";"KEWR";"Boeing 777-200";18
"48";"Austrian";"OS 65";2022-01-14 09:15:00;2022-01-14 10:52:00;"Departed";"KORD";"Boeing 767-300 (winglets)";97
"49";"Austrian";"OS 521";2022-01-14 08:00:00;2022-01-14 07:59:00;"Departed";"LIPZ";"Embraer 195";-1
"50";"Austrian";"OS 223";2022-01-14 06:40:00;2022-01-14 06:50:00;"Departed";"EDDB";"Airbus A320";10
"51";"Austrian";"OS 151";2022-01-14 06:35:00;2022-01-14 06:44:00;"Departed";"EDDL";"Airbus A320-100/200";9
"52";"Austrian";"OS 175";2022-01-14 06:35:00;2022-01-14 06:44:00;"Departed";"EDDH";"Airbus A320-100/200";9
"53";"Austrian";"OS 561";2022-01-14 06:35:00;2022-01-14 06:48:00;"Departed";"LSZH";"Embraer EMB 195";13
"54";"Austrian";"OS 311";2022-01-14 05:35:00;2022-01-14 05:52:00;"Departed";"ESSA";"Embraer 195";17
"55";"Austrian";"OS 975";2022-01-13 21:45:00;2022-01-13 21:50:00;"Departed";"LOWG";"Embraer EMB 195";5
"56";"Austrian";"OS 641";2022-01-13 21:30:00;2022-01-13 21:43:00;"Departed";"UDYZ";"Airbus A320-100/200";13
"57";"Austrian";"OS 515";2022-01-13 16:50:00;2022-01-13 16:52:00;"Departed";"LIMC";"Embraer EMB 195";2
"58";"Austrian";"OS 295";2022-01-13 16:45:00;2022-01-13 16:50:00;"Departed";"EDDV";"Embraer EMB 195";5
"59";"Austrian";"OS 505";2022-01-13 16:45:00;2022-01-13 16:55:00;"Departed";"LIRF";"Embraer EMB 195";10
"60";"Austrian";"OS 315";2022-01-13 16:40:00;2022-01-13 16:53:00;"Departed";"ESSA";"Embraer EMB 195";13
"61";"Austrian";"OS 305";2022-01-13 16:40:00;2022-01-13 16:48:00;"Departed";"EKCH";"Embraer EMB 195";8
"62";"Austrian";"OS 473";2022-01-13 16:40:00;2022-01-13 16:49:00;"Departed";"LFSB";"Embraer EMB 195";9
"63";"Austrian";"OS 125";2022-01-13 16:35:00;2022-01-13 16:47:00;"Departed";"EDDF";"Airbus A320-100/200";12
"64";"Austrian";"OS 575";2022-01-13 16:35:00;2022-01-13 16:44:00;"Departed";"LSGG";"Embraer EMB 195";9
"65";"Austrian";"OS 171";2022-01-13 16:30:00;2022-01-13 16:45:00;"Departed";"EDDH";"Embraer EMB 195";15
