"";"airline";"number";"scheduledTime";"actualTime";"status";"arrivalAirport";"aircraft";"diffMins"
"1";"Ryanair";"FR 975";2022-01-16 06:00:00;2022-01-16 06:43:00;"Departed";"UKBB";"Airbus A320";43
"2";"Ryanair";"FR 7161";2022-01-16 04:45:00;2022-01-16 05:01:00;"Departed";"LLBG";"Airbus A320";16
"3";"Ryanair";"FR 182";2022-01-15 11:30:00;2022-01-15 11:49:00;"Departed";"LBSF";"Boeing 737-800";19
"4";"Ryanair";"FR 5734";2022-01-15 11:20:00;2022-01-15 11:47:00;"Departed";"OJAI";"Airbus A320";27
"5";"Ryanair";"FR 975";2022-01-15 09:15:00;2022-01-15 09:25:00;"Departed";"UKBB";"Airbus A320";10
"6";"Ryanair";"FR 7299";2022-01-15 05:25:00;2022-01-15 05:33:00;"Departed";"LICC";"Airbus A320";8
"7";"Ryanair";"FR 104";2022-01-15 05:10:00;2022-01-15 05:35:00;"Departed";"LEPA";"Airbus A320";25
"8";"Ryanair";"FR 7350";2022-01-15 05:00:00;2022-01-15 05:03:00;"Departed";"LEBL";"Airbus A320";3
"9";"Ryanair";"FR 4WC";2022-01-14 12:49:00;2022-01-14 12:49:00;"Departed";"EDDK";"Airbus A320";0
"10";"Ryanair";"FR 9482";2022-01-14 09:10:00;2022-01-14 09:45:00;"Departed";"LIBD";"Airbus A320";35
"11";"Ryanair";"FR 7289";2022-01-14 05:30:00;2022-01-14 05:43:00;"Departed";"LEXJ";"Boeing 737-800";13
"12";"Ryanair";"FR 7161";2022-01-14 05:00:00;2022-01-14 05:06:00;"Departed";"LLBG";"Airbus A320";6
"13";"Ryanair";"FR 590";2022-01-14 04:45:00;2022-01-14 04:50:00;"Departed";"LEMG";"Airbus A320";5
"14";"Ryanair";"FR 182";2022-01-13 12:40:00;2022-01-13 12:44:00;"Departed";"LBSF";"Airbus A320";4
"15";"Ryanair";"FR 975";2022-01-13 10:50:00;2022-01-13 10:53:00;"Departed";"UKBB";"Airbus A320";3
"16";"Ryanair";"FR 7350";2022-01-13 05:20:00;2022-01-13 05:22:00;"Departed";"LEBL";"Airbus A320";2
"17";"Ryanair";"FR 214";2022-01-12 18:10:00;2022-01-12 18:16:00;"Departed";"LIMC";"Airbus A320";6
"18";"Ryanair";"FR 9475";2021-12-18 17:40:00;2021-12-18 17:47:00;"Departed";"LIRN";"Airbus A320";7
"19";"Ryanair";"FR 7364";2021-12-18 16:55:00;2021-12-18 17:27:00;"Departed";"EGSS";"Airbus A320";32
"20";"Ryanair";"FR 9480";2021-12-18 16:15:00;2021-12-18 16:20:00;"Departed";"EDDK";"Airbus A320";5
"21";"Ryanair";"FR 4385";2021-12-18 16:15:00;2021-12-18 16:24:00;"Departed";"EDLW";"Airbus A320";9
"22";"Ryanair";"FR 9126";2021-12-18 15:50:00;2021-12-18 15:56:00;"Departed";"EBCI";"W38";6
"23";"Ryanair";"FR 7366";2021-12-18 14:40:00;2021-12-18 14:45:00;"Departed";"EIDW";"Airbus A320";5
"24";"Ryanair";"FR 7291";2021-12-18 14:00:00;2021-12-18 14:21:00;"Departed";"LPPT";"Airbus A320";21
"25";"Ryanair";"FR 5567";2021-12-18 12:05:00;2021-12-18 12:28:00;"Departed";"EPMO";"Airbus A320";23
"26";"Ryanair";"FR 674";2021-12-18 12:00:00;2021-12-18 12:15:00;"Departed";"LYNI";"Airbus A320";15
"27";"Ryanair";"FR 182";2021-12-18 11:30:00;2021-12-18 11:47:00;"Departed";"LBSF";"W38";17
"28";"Ryanair";"FR 5734";2021-12-18 11:20:00;2021-12-18 12:25:00;"Departed";"OJAI";"Airbus A320";65
"29";"Ryanair";"FR 500";2021-12-18 10:15:00;2021-12-18 10:35:00;"Delayed";"LEPA";"W38";20
"30";"Ryanair";"FR 500";2021-12-18 10:15:00;2021-12-18 10:57:00;"Departed";"LEPA";"W38";42
"31";"Ryanair";"FR 4353";2021-12-18 10:00:00;2021-12-18 10:03:00;"Departed";"EGGP";"Airbus A320";3
"32";"Ryanair";"FR 7360";2021-12-18 06:15:00;2021-12-18 06:31:00;"Departed";"LIME";"Boeing 737-800";16
"33";"Ryanair";"FR 7531";2021-12-18 06:00:00;2021-12-18 06:10:00;"Departed";"GCFV";"Airbus A320";10
"34";"Ryanair";"FR 9768";2021-12-18 06:00:00;2021-12-18 06:09:00;"Departed";"LEZG";"Airbus A320";9
"35";"Ryanair";"FR 7348";2021-12-18 05:35:00;2021-12-18 05:45:00;"Departed";"EGSS";"W38";10
"36";"Ryanair";"FR 4789";2021-12-18 05:20:00;2021-12-18 05:34:00;"Departed";"GCTS";"Airbus A320";14
"37";"Ryanair";"FR 104";2021-12-18 05:10:00;2021-12-18 05:18:00;"Departed";"LEPA";"Airbus A320";8
"38";"Ryanair";"FR 7161";2021-12-18 05:00:00;2021-12-18 05:03:00;"Departed";"LLBG";"Airbus A320";3
