number,scheduledTime,actualTime,status
TK 6310,2021-10-09 09:50+02:00,2021-10-09 13:32+02:00,Departed
OR 369,2021-10-09 11:55+02:00,2021-10-09 13:30+02:00,Boarding
OR 369,2021-10-09 11:55+02:00,2021-10-09 15:29+02:00,Departed
GA 89,2021-10-09 12:05+02:00,2021-10-09 14:00+02:00,Departed
CI 9269,2021-10-09 12:15+02:00,2021-10-09 13:52+02:00,Departed
CZ 7359,2021-10-09 12:15+02:00,2021-10-09 13:52+02:00,Departed
DL 6612,2021-10-09 12:15+02:00,2021-10-09 13:52+02:00,Departed
EY 2808,2021-10-09 12:15+02:00,2021-10-09 13:52+02:00,Departed
FB 1702,2021-10-09 12:15+02:00,2021-10-09 13:52+02:00,Departed
KM 2601,2021-10-09 12:15+02:00,2021-10-09 13:52+02:00,Departed
KQ 3449,2021-10-09 12:15+02:00,2021-10-09 13:52+02:00,Departed
MF 9571,2021-10-09 12:15+02:00,2021-10-09 13:52+02:00,Departed
JU 7247,2021-10-09 12:15+02:00,2021-10-09 13:52+02:00,Departed
AZ 107,2021-10-09 12:15+02:00,2021-10-09 13:52+02:00,Departed
U2 2158,2021-10-09 12:30+02:00,2021-10-09 13:34+02:00,Departed
CAO 1024,2021-10-09 12:30+02:00,2021-10-09 16:44+02:00,Departed
CA 1024,2021-10-09 12:30+02:00,2021-10-09 16:44+02:00,Departed
AF 8243,2021-10-09 12:35+02:00,2021-10-09 13:18+02:00,Departed
KL 743,2021-10-09 12:35+02:00,2021-10-09 13:18+02:00,Departed
XC 5606,2021-10-09 12:40+02:00,2021-10-09 13:19+02:00,Departed
HV 6915,2021-10-09 12:55+02:00,2021-10-09 13:22+02:00,Departed
AF 5190,2021-10-09 13:00+02:00,2021-10-09 13:26+02:00,Departed
DL 9585,2021-10-09 13:00+02:00,2021-10-09 13:26+02:00,Departed
KL 565,2021-10-09 13:00+02:00,2021-10-09 13:26+02:00,Departed
DL 7496,2021-10-09 13:00+02:00,2021-10-09 13:19+02:00,Departed
HV 6331,2021-10-09 13:00+02:00,2021-10-09 13:19+02:00,Departed
KL 2659,2021-10-09 13:00+02:00,2021-10-09 13:19+02:00,Departed
PS 102,2021-10-09 13:00+02:00,2021-10-09 13:21+02:00,Departed
AF 6696,2021-10-09 13:05+02:00,2021-10-09 13:17+02:00,Departed
DL 9384,2021-10-09 13:05+02:00,2021-10-09 13:17+02:00,Departed
VS 6835,2021-10-09 13:05+02:00,2021-10-09 13:17+02:00,Departed
KL 651,2021-10-09 13:05+02:00,2021-10-09 13:17+02:00,Departed
TK 7747,2021-10-09 13:05+02:00,2021-10-09 13:14+02:00,Departed
DL 7506,2021-10-09 13:10+02:00,2021-10-09 13:30+02:00,Departed
DL 9554,2021-10-09 13:10+02:00,2021-10-09 13:22+02:00,Departed
GA 9216,2021-10-09 13:10+02:00,2021-10-09 13:22+02:00,Departed
G3 8549,2021-10-09 13:10+02:00,2021-10-09 13:22+02:00,Departed
KL 2657,2021-10-09 13:10+02:00,2021-10-09 13:30+02:00,Departed
MF 9389,2021-10-09 13:10+02:00,2021-10-09 13:22+02:00,Departed
MU 1583,2021-10-09 13:10+02:00,2021-10-09 13:22+02:00,Departed
VS 5662,2021-10-09 13:10+02:00,2021-10-09 13:22+02:00,Departed
KL 1857,2021-10-09 13:10+02:00,2021-10-09 13:22+02:00,Departed
HV 5423,2021-10-09 13:10+02:00,2021-10-09 13:30+02:00,Departed
AF 6698,2021-10-09 13:20+02:00,2021-10-09 13:24+02:00,Departed
DL 9284,2021-10-09 13:20+02:00,2021-10-09 14:08+02:00,Departed
DL 9348,2021-10-09 13:20+02:00,2021-10-09 13:24+02:00,Departed
EC 8872,2021-10-09 13:20+02:00,2021-10-09 13:20+02:00,Canceled
EY 7329,2021-10-09 13:20+02:00,2021-10-09 14:08+02:00,Departed
G3 8551,2021-10-09 13:20+02:00,2021-10-09 14:08+02:00,Departed
MF 9719,2021-10-09 13:20+02:00,2021-10-09 14:08+02:00,Departed
MU 1607,2021-10-09 13:20+02:00,2021-10-09 14:08+02:00,Departed
UX 3785,2021-10-09 13:20+02:00,2021-10-09 14:08+02:00,Departed
VS 5708,2021-10-09 13:20+02:00,2021-10-09 14:08+02:00,Departed
VS 6837,2021-10-09 13:20+02:00,2021-10-09 13:24+02:00,Departed
KL 1781,2021-10-09 13:20+02:00,2021-10-09 14:08+02:00,Departed
OR 669,2021-10-09 13:20+02:00,2021-10-09 14:03+02:00,Departed
KL 641,2021-10-09 13:20+02:00,2021-10-09 13:24+02:00,Departed
HV 5623,2021-10-09 13:20+02:00,2021-10-09 13:42+02:00,Departed
KL 2675,2021-10-09 13:20+02:00,2021-10-09 13:42+02:00,Departed
EC 4564,2021-10-09 13:25+02:00,2021-10-09 13:48+02:00,Departed
EC 7973,2021-10-09 13:30+02:00,2021-10-09 14:12+02:00,Departed
DL 8192,2021-10-09 13:35+02:00,2021-10-09 13:42+02:00,Departed
DL 9250,2021-10-09 13:35+02:00,2021-10-09 13:45+02:00,Departed
EK 9987,2021-10-09 13:35+02:00,2021-10-09 13:47+02:00,Departed
KQ 1375,2021-10-09 13:35+02:00,2021-10-09 13:42+02:00,Departed
KL 1679,2021-10-09 13:35+02:00,2021-10-09 13:45+02:00,Departed
KL 1375,2021-10-09 13:35+02:00,2021-10-09 13:42+02:00,Departed
GER 842F,2021-10-09 13:36+02:00,2021-10-09 13:36+02:00,Departed
PH 4H1,2021-10-09 13:36+02:00,2021-10-09 13:36+02:00,Departed
OR 299,2021-10-09 13:40+02:00,2021-10-09 14:17+02:00,Departed
AF 3233,2021-10-09 13:45+02:00,2021-10-09 13:52+02:00,Departed
AF 6712,2021-10-09 13:45+02:00,2021-10-09 13:59+02:00,Departed
DL 9381,2021-10-09 13:45+02:00,2021-10-09 13:52+02:00,Departed
VS 5618,2021-10-09 13:45+02:00,2021-10-09 13:59+02:00,Departed
VS 5716,2021-10-09 13:45+02:00,2021-10-09 13:52+02:00,Departed
KL 1509,2021-10-09 13:45+02:00,2021-10-09 13:59+02:00,Departed
KL 1497,2021-10-09 13:45+02:00,2021-10-09 13:52+02:00,Departed
UX 3764,2021-10-09 13:50+02:00,2021-10-09 14:01+02:00,Departed
VS 5733,2021-10-09 13:50+02:00,2021-10-09 14:01+02:00,Departed
OR 671,2021-10-09 13:50+02:00,2021-10-09 14:28+02:00,Departed
AR 7817,2021-10-09 13:50+02:00,2021-10-09 14:01+02:00,Departed
DL 9607,2021-10-09 13:50+02:00,2021-10-09 14:01+02:00,Departed
G3 5664,2021-10-09 13:50+02:00,2021-10-09 14:01+02:00,Departed
GA 9015,2021-10-09 13:50+02:00,2021-10-09 14:01+02:00,Departed
KL 1703,2021-10-09 13:50+02:00,2021-10-09 14:01+02:00,Departed
KQ 1703,2021-10-09 13:50+02:00,2021-10-09 14:01+02:00,Departed
MF 9709,2021-10-09 13:50+02:00,2021-10-09 14:01+02:00,Departed
PS 9403,2021-10-09 13:50+02:00,2021-10-09 14:01+02:00,Departed
DL 9241,2021-10-09 13:55+02:00,2021-10-09 14:11+02:00,Departed
KL 1569,2021-10-09 13:55+02:00,2021-10-09 14:11+02:00,Departed
TP 673,2021-10-09 13:55+02:00,2021-10-09 14:33+02:00,Departed
AF 3163,2021-10-09 14:00+02:00,2021-10-09 14:11+02:00,Departed
DL 9216,2021-10-09 14:00+02:00,2021-10-09 14:11+02:00,Departed
DL 9233,2021-10-09 14:00+02:00,2021-10-09 14:03+02:00,Departed
VS 5859,2021-10-09 14:00+02:00,2021-10-09 14:03+02:00,Departed
KL 1713,2021-10-09 14:00+02:00,2021-10-09 14:03+02:00,Departed
KL 497,2021-10-09 14:00+02:00,2021-10-09 14:11+02:00,Departed
AF 3230,2021-10-09 14:05+02:00,2021-10-09 14:08+02:00,Departed
DL 9310,2021-10-09 14:05+02:00,2021-10-09 14:11+02:00,Departed
DL 9485,2021-10-09 14:05+02:00,2021-10-09 14:08+02:00,Departed
CI 9483,2021-10-09 14:05+02:00,2021-10-09 14:08+02:00,Departed
KQ 1169,2021-10-09 14:05+02:00,2021-10-09 14:11+02:00,Departed
MF 9901,2021-10-09 14:05+02:00,2021-10-09 14:08+02:00,Departed
UX 3793,2021-10-09 14:05+02:00,2021-10-09 14:11+02:00,Departed
VS 5795,2021-10-09 14:05+02:00,2021-10-09 14:08+02:00,Departed
AZ 3810,2021-10-09 14:05+02:00,2021-10-09 14:11+02:00,Departed
EY 7401,2021-10-09 14:05+02:00,2021-10-09 14:11+02:00,Departed
GA 9774,2021-10-09 14:05+02:00,2021-10-09 14:11+02:00,Departed
KL 1169,2021-10-09 14:05+02:00,2021-10-09 14:11+02:00,Departed
MF 9915,2021-10-09 14:05+02:00,2021-10-09 14:11+02:00,Departed
MH 5701,2021-10-09 14:05+02:00,2021-10-09 14:11+02:00,Departed
VS 5714,2021-10-09 14:05+02:00,2021-10-09 14:11+02:00,Departed
KL 1503,2021-10-09 14:05+02:00,2021-10-09 14:08+02:00,Departed
MU 7770,2021-10-09 14:10+02:00,2021-10-09 13:52+02:00,Departed
FI 501,2021-10-09 14:10+02:00,2021-10-09 14:23+02:00,Departed
VY 1375,2021-10-09 14:10+02:00,2021-10-09 14:15+02:00,Departed
DL 8578,2021-10-09 14:15+02:00,2021-10-09 14:17+02:00,Departed
DL 9355,2021-10-09 14:15+02:00,2021-10-09 14:16+02:00,Departed
KL 3598,2021-10-09 14:15+02:00,2021-10-09 14:17+02:00,Departed
OU 5901,2021-10-09 14:15+02:00,2021-10-09 14:16+02:00,Departed
VS 6336,2021-10-09 14:15+02:00,2021-10-09 14:17+02:00,Departed
KL 1943,2021-10-09 14:15+02:00,2021-10-09 14:16+02:00,Departed
AF 1821,2021-10-09 14:15+02:00,2021-10-09 14:17+02:00,Departed
AF 3176,2021-10-09 14:20+02:00,2021-10-09 14:30+02:00,Departed
AF 8423,2021-10-09 14:20+02:00,2021-10-09 14:34+02:00,Departed
AF 8434,2021-10-09 14:20+02:00,2021-10-09 15:00+02:00,GateClosed
DL 8214,2021-10-09 14:20+02:00,2021-10-09 14:29+02:00,Departed
DL 9308,2021-10-09 14:20+02:00,2021-10-09 14:30+02:00,Departed
DL 9320,2021-10-09 14:20+02:00,2021-10-09 14:34+02:00,Departed
DL 9587,2021-10-09 14:20+02:00,2021-10-09 15:00+02:00,GateClosed
