number;scheduledTime;actualTime;status
Air France+AF 8227;1634699700.0;1634699880.0;Departed
Delta Air Lines+DL 8203;1634699700.0;1634699880.0;Departed
Delta Air Lines+DL 9535;1634700000.0;1634699940.0;Departed
Etihad Airways+EY 5823;1634700000.0;1634699940.0;Departed
Gol+G3 5532;1634699700.0;1634699880.0;Departed
Garuda Indonesia+GA 9010;1634700000.0;1634699940.0;Departed
Garuda Indonesia+GA 9258;1634699700.0;1634699880.0;Departed
EasyJet Europe+EC 7795;1634700600.0;1634700540.0;Departed
Korean Air+KE 6441;1634700000.0;1634699940.0;Departed
KLM+KL 2740;1634700000.0;1634700180.0;Departed
Kenya Airways+KQ 1125;1634700000.0;1634699940.0;Departed
Kenya Airways+KQ 1227;1634699700.0;1634699880.0;Departed
NCA - Nippon Cargo+KZ 49;1634701500.0;1634701560.0;Departed
Xiamen+MF 9313;1634700000.0;1634699940.0;Departed
Xiamen+MF 9777;1634699700.0;1634699880.0;Departed
Malaysia+MH 5639;1634700000.0;1634699940.0;Departed
China Eastern+MU 1557;1634699700.0;1634699880.0;Departed
AirBridgeCargo+RU 254;1634701800.0;1634701440.0;Departed
Virgin Atlantic+VS 5511;1634699700.0;1634699880.0;Departed
Virgin Atlantic+VS 5650;1634700000.0;1634699940.0;Departed
Atlas Air+5Y 8158;1634702400.0;1634702520.0;Departed
Air France+AF 1237;1634705400.0;1634705400.0;CanceledUncertain
Air France+AF 3115;1634703000.0;1634702700.0;Departed
Air France+AF 8229;1634702400.0;1634702520.0;Departed
China Southern+CZ 7606;1634703300.0;1634704500.0;Departed
China Southern+CZ 7647;1634703900.0;1634703840.0;Departed
China Southern+CZ 7663;1634705700.0;1634705520.0;Departed
Delta Air Lines+DL 8198;1634702400.0;1634702520.0;Departed
Delta Air Lines+DL 8199;1634704500.0;1634705460.0;Departed
Delta Air Lines+DL 9078;1634703000.0;1634702700.0;Departed
Delta Air Lines+DL 9569;1634703900.0;1634703840.0;Departed
Delta Air Lines+DL 9593;1634703300.0;1634703240.0;Departed
Delta Air Lines+DL 9377;1634702400.0;1634702040.0;Departed
Delta Air Lines+DL 9403;1634703900.0;1634703900.0;Departed
China Eastern+MU 1793;1634700000.0;1634699940.0;Departed
Garuda Indonesia+GA 9240;1634702400.0;1634702520.0;Departed
EasyJet Europe+EC 2724;1634705400.0;1634705220.0;Departed
Etihad Airways+EY 7315;1634703300.0;1634703240.0;Departed
Garuda Indonesia+GA 9954;1634704500.0;1634704680.0;Departed
Gulf Air+GF 5201;1634703900.0;1634703840.0;Departed
KLM+KL 2607;1634702400.0;1634702340.0;Departed
KLM+KL 2674;1634702700.0;1634702880.0;Departed
Kenya Airways+KQ 1197;1634703300.0;1634703240.0;Departed
Kenya Airways+KQ 1229;1634702400.0;1634702520.0;Departed
Kenya Airways+KQ 1763;1634703900.0;1634703840.0;Departed
Kenya Airways+KQ 983;1634702400.0;1634702040.0;Departed
Xiamen+MF 9365;1634703900.0;1634703840.0;Departed
Xiamen+MF 9779;1634702400.0;1634702520.0;Departed
Malaysia+MH 5651;1634703300.0;1634703240.0;Departed
China Eastern+MU 1555;1634702400.0;1634702520.0;Departed
China Eastern+MU 1575;1634703900.0;1634703840.0;Departed
Aeroflot+SU 3355;1634705700.0;1634705520.0;Departed
Aeroflot+SU 3427;1634703300.0;1634703240.0;Departed
easyJet+U2 2154;1634705100.0;1634705100.0;Canceled
Virgin Atlantic+VS 5512;1634702400.0;1634702520.0;Departed
Virgin Atlantic+VS 5771;1634703300.0;1634703240.0;Departed
Virgin Atlantic+VS 5857;1634703000.0;1634702700.0;Departed
Virgin Atlantic+VS 6986;1634702400.0;1634702040.0;Departed
Air France+AF 3654;1634706900.0;1634706900.0;GateClosed
Cargolux+CV 6612;1634707800.0;1634706900.0;Expected
China Southern+CZ 2574;1634706000.0;1634706360.0;Departed
China Southern+CZ 452;1634706000.0;1634704260.0;Departed
Delta Air Lines+DL 9331;1634706900.0;1634706900.0;GateClosed
Delta Air Lines+DL 9388;1634706600.0;1634706600.0;GateClosed
EasyJet Europe+EC 4562;1634706300.0;1634706300.0;GateClosed
Etihad Airways+EY 7344;1634706900.0;1634706900.0;GateClosed
Garuda Indonesia+GA 9496;1634706600.0;1634706600.0;GateClosed
KLM+KL 6074;1634706900.0;1634706900.0;GateClosed
Xiamen+MF 9607;1634706600.0;1634706600.0;GateClosed
China Eastern+MU 1825;1634706600.0;1634706600.0;GateClosed
Aeroflot+SU 3469;1634706900.0;1634706900.0;GateClosed
Xiamen+MF 9171;1634703900.0;1634703900.0;Departed
Virgin Atlantic+VS 5675;1634703900.0;1634703840.0;Departed
Virgin Atlantic+VS 5696;1634704500.0;1634705460.0;Departed
Virgin Atlantic+VS 4055;1634706900.0;1634706900.0;GateClosed
Eurowings+EW 7181;1634703300.0;1634704620.0;Departed
Lufthansa+LH 2301;1634705400.0;1634705400.0;GateClosed
Delta Air Lines+DL 9640;1634700000.0;1634700000.0;Departed
KLM+KL 1001;1634700000.0;1634700000.0;Departed
Kenya Airways+KQ 1001;1634700000.0;1634700000.0;Departed
Xiamen+MF 9301;1634700000.0;1634700000.0;Departed
China Eastern+MU 1617;1634700000.0;1634700000.0;Departed
Virgin Atlantic+VS 6992;1634700000.0;1634700000.0;Departed
British Airways+BA 423;1634701800.0;1634701800.0;Departed
China Southern+CZ 7658;1634704500.0;1634704680.0;Departed
Delta Air Lines+DL 9641;1634704500.0;1634704680.0;Departed
KLM+KL 1007;1634704500.0;1634704680.0;Departed
Kenya Airways+KQ 1007;1634704500.0;1634704680.0;Departed
Xiamen+MF 9303;1634704500.0;1634704680.0;Departed
China Eastern+MU 1619;1634704500.0;1634704680.0;Departed
Virgin Atlantic+VS 6993;1634704500.0;1634704680.0;Departed
KLM+KL 1125;1634700000.0;1634699940.0;Departed
KLM+KL 983;1634702400.0;1634702040.0;Departed
Lufthansa+LH 1003;1634702700.0;1634702820.0;Departed
KLM+KL 1763;1634703900.0;1634703840.0;Departed
TUIfly Netherlands+OR 501;1634701800.0;1634701320.0;Departed
EasyJet Europe+EC 7941;1634700900.0;1634701020.0;Departed
Delta Air Lines+DL 71;1634706900.0;1634706900.0;GateClosed
United+UA 71;1634706900.0;1634706900.0;Boarding
Delta Air Lines+DL 9601;1634703300.0;1634704500.0;Departed
Etihad Airways+EY 7348;1634703300.0;1634704500.0;Departed
Garuda Indonesia+GA 9248;1634703300.0;1634704500.0;Departed
Transavia+HV 5131;1634702700.0;1634702880.0;Departed
Korean Air+KE 6405;1634703300.0;1634704500.0;Departed
KLM+KL 1665;1634703300.0;1634704500.0;Departed
Xiamen+MF 9353;1634703300.0;1634704500.0;Departed
Virgin Atlantic+VS 5627;1634703300.0;1634704500.0;Departed
Transavia+HV 6109;1634706300.0;1634706300.0;Departed
KLM+KL 2663;1634706300.0;1634706300.0;Departed
KLM+KL 1251;1634703000.0;1634702700.0;Departed
KLM+KL 1197;1634703300.0;1634703240.0;Departed
EasyJet Europe+EC 7973;1634703000.0;1634706180.0;Departed
KLM+KL 1185;1634706900.0;1634706900.0;GateClosed
KLM+KL 1227;1634699700.0;1634699880.0;Departed
KLM+KL 1573;1634704500.0;1634705460.0;Departed
KLM+KL 1229;1634702400.0;1634702520.0;Departed
KLM+KL 1619;1634703900.0;1634703900.0;Departed
KLM+KL 1651;1634706600.0;1634706600.0;GateClosed
Xiamen+MF 9823;1634705400.0;1634705220.0;Departed
EasyJet Europe+EC 7903;1634698800.0;1634704920.0;Departed
Transavia+HV 6001;1634702400.0;1634702340.0;Departed
KLM+KL 1973;1634705400.0;1634705220.0;Departed
Delta Air Lines+DL 9433;1634705400.0;1634705220.0;Departed
